rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,法師不會回血 法師不會回血,2,4.175365
2,兩個人玩很順暢好玩 負評很多根本就自己菜,1,2.087683
3,負評很多根本就自己菜 不用太過擔心,1,2.087683
4,不用太過擔心 很享受的15小時,1,2.087683
5,相比一代加了一堆東西搞得本作不倫不類的 劇情也看不懂在幹嘛,1,2.087683
6,已遊玩15小時 還未破關,1,2.087683
7,還未破關 職業我依舊是選盜賊,1,2.087683
8,職業我依舊是選盜賊 情有獨鍾,1,2.087683
9,情有獨鍾 目前還沒試過玩連線,1,2.087683
10,目前還沒試過玩連線 以下是自己的心得淺見,1,2.087683
11,以下是自己的心得淺見 與一代相比,1,2.087683
12,與一代相比 美術畫風,1,2.087683
13,美術畫風 畫面比一代豐富有層次,1,2.087683
14,畫面比一代豐富有層次 人物的捏臉特色有比較鮮明,1,2.087683
15,人物的捏臉特色有比較鮮明 方尖碑取代了至聖所的祭壇,1,2.087683
16,方尖碑取代了至聖所的祭壇 分布算蠻多的補給和存檔都方便,1,2.087683
17,分布算蠻多的補給和存檔都方便 傳送地圖的方式不需要在擺人偶,1,2.087683
18,傳送地圖的方式不需要在擺人偶 地圖第一代比較多隱藏的暗門,1,2.087683
19,地圖第一代比較多隱藏的暗門 二代需要吞噬法師心臟來一邊推進,1,2.087683
20,二代需要吞噬法師心臟來一邊推進 地圖的機關依樣要拿到特殊道具或是技能才能解開,1,2.087683
21,地圖的機關依樣要拿到特殊道具或是技能才能解開 兩者地圖的設計依樣都很有巧思和創意,1,2.087683
22,兩者地圖的設計依樣都很有巧思和創意 第一次玩一代的時候已經好久以前了,1,2.087683
23,第一次玩一代的時候已經好久以前了 一開始玩印象是很難上手初期打boos都是翻滾,1,2.087683
24,一開始玩印象是很難上手初期打boos都是翻滾 搓一刀慢慢磨,1,2.087683
25,搓一刀慢慢磨 到後期越打越輕鬆,1,2.087683
26,到後期越打越輕鬆 玩二代時可能已經有經驗和被其他魂類的遊戲調教過,1,2.087683
27,玩二代時可能已經有經驗和被其他魂類的遊戲調教過 很自虐的玩家,1,2.087683
28,很自虐的玩家 感覺比較好上手,1,2.087683
29,感覺比較好上手 除了一開始的劇情殺,1,2.087683
30,除了一開始的劇情殺 初次打boos就建立了滿滿的信心,1,2.087683
31,初次打boos就建立了滿滿的信心 主線內容,1,2.087683
32,主線內容 二代的主線劇情比較明確,1,2.087683
33,二代的主線劇情比較明確 npc直接說明下一步要做什麼,1,2.087683
34,npc直接說明下一步要做什麼 比較不會迷失,1,2.087683
35,比較不會迷失 如果想單純的狩獵法師也可以,1,2.087683
36,如果想單純的狩獵法師也可以 boos被玩家擊敗後的對話有會讓人感是到人物設計的用心,1,2.087683
37,boos被玩家擊敗後的對話有會讓人感是到人物設計的用心 雖然我沒什麼在看,1,2.087683
38,雖然我沒什麼在看 人物刻劃比較細膩,1,2.087683
39,人物刻劃比較細膩 內容豐富很多,1,2.087683
40,內容豐富很多 第一代玩到二周目還是沒有找到公主xd,1,2.087683
41,第一代玩到二周目還是沒有找到公主xd 以上全是個人心得感覺,1,2.087683
42,以上全是個人心得感覺 不是專業講評人,1,2.087683
43,不是專業講評人 推薦給和我一樣喜歡探索遊戲世界,1,2.087683
44,推薦給和我一樣喜歡探索遊戲世界 默默的磨練遊戲技術的玩家,1,2.087683
45,默默的磨練遊戲技術的玩家 這款遊戲不會讓你失望,1,2.087683
46,其實 沒那麼糟,1,2.087683
47,沒那麼糟 預設心態擺在一代的話,1,2.087683
48,預設心態擺在一代的話 那真的不夠好,1,2.087683
49,那真的不夠好 但是分開來看,1,2.087683
50,但是分開來看 這款也是有它的特色與樂趣,1,2.087683
51,這款也是有它的特色與樂趣 地圖,1,2.087683
52,地圖 法師,1,2.087683
53,法師 混戰,1,2.087683
54,混戰 花式被打飛摔落等等一堆缺點大家都講了,1,2.087683
55,花式被打飛摔落等等一堆缺點大家都講了 地圖只能說創新嘗試大失敗,1,2.087683
56,地圖只能說創新嘗試大失敗 應該是為了新的要素,1,2.087683
57,應該是為了新的要素 鉤索,1,2.087683
58,鉤索 而設計,1,2.087683
59,而設計 配合不斷把你打飛且十分混亂的戰鬥,1,2.087683
60,配合不斷把你打飛且十分混亂的戰鬥 最後噁心到玩家,1,2.087683
61,最後噁心到玩家 然後一直跑一直跑的法師,1,2.087683
62,然後一直跑一直跑的法師 確實很惱人,1,2.087683
63,確實很惱人 要不是主目標有提示不然大概在某次追丟後就放棄了吧,1,2.087683
64,要不是主目標有提示不然大概在某次追丟後就放棄了吧 混戰的部分,1,2.087683
65,混戰的部分 其實有嘗到甜頭,1,2.087683
66,其實有嘗到甜頭 法師步跑的最後一個區域就是決戰點,1,2.087683
67,法師步跑的最後一個區域就是決戰點 剛好有其他法師跑來的話,1,2.087683
68,剛好有其他法師跑來的話 充當打手或是吸仇恨都很好用,1,2.087683
69,充當打手或是吸仇恨都很好用 甚至法師被兩個菁英怪圍毆到能處決也是見過,1,2.087683
70,甚至法師被兩個菁英怪圍毆到能處決也是見過 只能說是嘗試但是很失敗,1,2.087683
71,只能說是嘗試但是很失敗 還是有優點啦,1,2.087683
72,還是有優點啦 基本戰鬥系統跟一代一樣,1,2.087683
73,基本戰鬥系統跟一代一樣 操控手感還是很舒服,1,2.087683
74,操控手感還是很舒服 我很喜歡,1,2.087683
75,我很喜歡 武器細分很多,1,2.087683
76,武器細分很多 有好有壞,1,2.087683
77,有好有壞 有些喜歡的武器設計的不錯所以以加分,1,2.087683
78,有些喜歡的武器設計的不錯所以以加分 武士刀,1,2.087683
79,武士刀 魔法變成戰技,1,2.087683
80,魔法變成戰技 讓使用率提高,1,2.087683
81,讓使用率提高 不然一代走力量敏捷就跟魔法無緣了,1,2.087683
82,不然一代走力量敏捷就跟魔法無緣了 追法師到最後決戰前,1,2.087683
83,追法師到最後決戰前 可以補給再上,1,2.087683
84,可以補給再上 所以其實決戰難度不高,1,2.087683
85,所以其實決戰難度不高 每個法師幾乎都是初見就過,1,2.087683
86,每個法師幾乎都是初見就過 結論,1,2.087683
