rank,token,frequency,relative_frequency_per_1000_tokens
1,spoiler,22,6.146968
2,h1,14,3.911707
3,找法师,13,3.6323
4,h3,8,2.235261
5,但是,7,1.955854
6,h2,6,1.676446
7,tr,6,1.676446
8,不推荐,5,1.397038
9,盐与献祭,5,1.397038
10,首先,5,1.397038
11,垃圾游戏,4,1.117631
12,垃圾,4,1.117631
13,优点,4,1.117631
14,真的,4,1.117631
15,不要买,4,1.117631
16,追法师,4,1.117631
17,strike,4,1.117631
18,td,4,1.117631
19,毫无新意,4,1.117631
20,取其糟粕,3,0.838223
21,地图设计,3,0.838223
22,狩猎法师,3,0.838223
23,缺点,3,0.838223
24,不好玩,3,0.838223
25,投技,3,0.838223
26,傻逼游戏,3,0.838223
27,盐与避难所,3,0.838223
28,ps,3,0.838223
29,什么,3,0.838223
30,开新图,3,0.838223
31,人物养成,3,0.838223
32,去其精华,2,0.558815
33,打击感,2,0.558815
34,盐与牺牲,2,0.558815
35,法师,2,0.558815
36,能出什么问题,2,0.558815
37,垃圾中的垃圾,2,0.558815
38,快跑,2,0.558815
39,其次,2,0.558815
40,是的,2,0.558815
41,别买,2,0.558815
42,千万别买,2,0.558815
43,实在玩不下去了,2,0.558815
44,哈哈,2,0.558815
45,纯粹的屎,2,0.558815
46,没错,2,0.558815
47,还有,2,0.558815
48,然后,2,0.558815
49,同时,2,0.558815
50,日在线人数,2,0.558815
51,没有地图,2,0.558815
52,一堆解锁的门,2,0.558815
53,糟糕的地图设计,2,0.558815
54,就是一坨,2,0.558815
55,二周目,2,0.558815
56,动作系统,2,0.558815
57,钩爪,2,0.558815
58,杀法师,2,0.558815
59,进新地图,2,0.558815
60,开门,2,0.558815
61,table,2,0.558815
62,th,2,0.558815
63,url,2,0.558815
64,相互连通的大地图改成很多中型地图通过火鸡场传送连接,2,0.558815
65,因为引入怪猎的,2,0.558815
66,换区,2,0.558815
67,机制,2,0.558815
68,为了给boss换区服务而严重影响类恶魔城地图设计的水准,2,0.558815
69,感受不到精妙的连接和机关,2,0.558815
70,就是,2,0.558815
71,小巷子通向各个大区域,2,0.558815
72,探图无聊,2,0.558815
73,怪物设计偷懒,2,0.558815
74,改为地图守关boss,2,0.558815
75,无限刷新的同质化boss,2,0.558815
76,有些不伦不类,2,0.558815
77,并且boss几乎都是,2,0.558815
78,召唤小怪,2,0.558815
79,发射物,2,0.558815
80,近战武器拍一下,2,0.558815
81,战斗无聊,2,0.558815
82,角色韧性设置很奇怪,2,0.558815
83,被怪打飞,2,0.558815
84,被机关创飞,2,0.558815
85,创建角色界面只显示职业名字,2,0.558815
86,武器,2,0.558815
87,但是却不显示各职业的属性,2,0.558815
88,缆车,2,0.558815
89,并且只能在,2,0.558815
90,双脚站立与地面,2,0.558815
91,时才能交互,2,0.558815
92,改成,2,0.558815
93,在起点范围内即可交互,2,0.558815
94,玩家的体验会更舒畅,2,0.558815
95,平台召唤,2,0.558815
96,类似一代的火把平台,2,0.558815
97,作为一代的老粉丝不得不说续作完全偏离的我的期待,2,0.558815
98,有很多改变但是感觉都没有做好,2,0.558815
99,然而游戏本身的,2,0.558815
100,探索,2,0.558815
101,又有一定的吸引力,2,0.558815
102,如果不是一代的粉丝,2,0.558815
103,被画面吸引,2,0.558815
104,那么请去玩一代,2,0.558815
105,如果是一代粉丝,2,0.558815
106,那么本作是无法满足你对延续前作体验的期待的,2,0.558815
107,可以半价再入,2,0.558815
108,boss,2,0.558815
109,平庸之作,1,0.279408
110,虽然也有点可取之处但坏在它作为盐的后续作品实在不够合格,1,0.279408
111,在雪山狩猎法师老刷新那个死妈羊头,1,0.279408
112,是不是觉得爬山的时候给你爹直接一头创死很好玩,1,0.279408
113,草拟司马,1,0.279408
114,打完立马卸载,1,0.279408
115,垃圾玩意,1,0.279408
116,时隔几年在来玩这游戏,1,0.279408
117,果然还是大粪游戏,1,0.279408
118,冠军那个图的怪物设计和地图陷阱,1,0.279408
119,妥妥的大粪,1,0.279408
120,喜欢我天花板跳下来一大堆匕首怪吗,1,0.279408
121,你的重甲在匕首怪面前和纸一样,1,0.279408
122,一个投技后在你倒地起身的时候又是一顿输出,1,0.279408
123,匕首怪普通攻击打你刀刀出硬直,1,0.279408
124,真的恶心至极,1,0.279408
125,还有同地图的傻逼老鼠怪,1,0.279408
126,对了,1,0.279408
127,这个傻逼图还特喜欢堆怪,1,0.279408
128,被3个匕首怪追知道多绝望吗,1,0.279408
129,里面的怪非常色情,1,0.279408
130,没法好好玩,1,0.279408
131,不如一代,1,0.279408
132,联机玩的单人后面的怪一个比一个数值,1,0.279408
133,玩得头晕,1,0.279408
134,地图辨识度太低一直在迷路,1,0.279408
135,玩法单一,1,0.279408
136,怪猎式追杀boss在设计很垃圾的地图里到处乱跑,1,0.279408
137,扬短避长了属于是,1,0.279408
138,全是换皮怪还粪得要死,1,0.279408
139,技能树全是数值很无聊,1,0.279408
140,不如第一部一根,1,0.279408
141,追着怪物满地图跑,1,0.279408
142,还能看见两个boss在一块的,1,0.279408
143,完美无瑕无懈可击,1,0.279408
144,你无法理解这坨屎是如何拉出来的,1,0.279408
145,小怪连招十分丰富,1,0.279408
146,动作十分优秀,1,0.279408
147,耐力十分持久,1,0.279408
148,伤害十分恐怖,1,0.279408
149,血量十分雄厚,1,0.279408
150,攻击欲望十足,1,0.279408
151,陷阱是看不见的,1,0.279408
152,主角是小儿麻痹的,1,0.279408
153,二段跳是没有的,1,0.279408
154,每个场景都是牢笼红馆plus,1,0.279408
155,令人忍俊不禁,1,0.279408
156,dlc简直不是人玩的,1,0.279408
157,堆怪严重陷阱多就算了,1,0.279408
158,第一个boss不演了,1,0.279408
159,给之前两个boss加一起就是新boss了是吧,1,0.279408
160,草药师到是有点意思,1,0.279408
161,四圣堪比会飞天的人体树,1,0.279408
162,体验十分灾难,1,0.279408
163,最后那个boss攻击欲望是盐里的么,1,0.279408
164,我怎么感觉像空洞骑士里的,1,0.279408
165,这你让小儿麻痹主角怎么打,1,0.279408
166,两个人联机玩还能玩一下,1,0.279408
167,一个人玩和吃屎无异,1,0.279408
168,其实大部分游戏内容还是很可玩的,1,0.279408
169,但是作为核心玩法的法师狩猎系统太反人类了,1,0.279408
170,在一个到处是高低平台,1,0.279408
171,还时不时有陷阱的地方跑东跑西的,1,0.279408
172,真亏制作组想得出来,1,0.279408
173,看得出他们想做出一些自己的东西,1,0.279408
174,但这东西明显有大问题,1,0.279408
175,法师只会复读,1,0.279408
176,和玩家完全没有任何交互,1,0.279408
177,只会根据距离复读技能,1,0.279408
178,太史了,1,0.279408
179,这游戏一坨屎,1,0.279408
180,依托大芬,1,0.279408
181,不如一代一根,1,0.279408
182,和一有什么关系,1,0.279408
183,毫无体验,1,0.279408
184,纯纯一坨,1,0.279408
185,键鼠适配一坨,1,0.279408
186,游戏性一坨,1,0.279408
187,武器一坨,1,0.279408
188,怪物一坨组成的缝合怪,1,0.279408
189,给我玩的已经不是恼火了,1,0.279408
190,已经是想笑了,1,0.279408
191,再我又一次玩了几个小时候之后,1,0.279408
192,特别是来到长老丛林之后,1,0.279408
193,我才发现,1,0.279408
194,前面的章节在我的游玩体验里有多好了,1,0.279408
195,一进入这一章的神殿之后就会出现铺天盖地的火焰怪,1,0.279408
196,包括但不限于碰一下就会让你马上燃起来的爆爆喷火怪,1,0.279408
197,盯着你看几秒钟就能无视翻滚和投技给你挂在椅子上享受火焰炙烤的椅子超人,1,0.279408
198,以及超级堆怪体验,1,0.279408
199,在追踪冠名法师的过程中无论是天上地下都塞满了火法,1,0.279408
200,喷火人,1,0.279408
