rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,ce qu'il,3,4.451039
2,parce que,3,4.451039
3,this game,3,4.451039
4,this is,3,4.451039
5,mal y'a,2,2.967359
6,premier c'est,2,2.967359
7,vrai que,2,2.967359
8,que celui,2,2.967359
9,tout même,2,2.967359
10,me suis,2,2.967359
11,assez bien,2,2.967359
12,bien amusé,2,2.967359
13,tout ce,2,2.967359
14,comme boss,2,2.967359
15,c'est juste,2,2.967359
16,boss que,2,2.967359
17,ce qui,2,2.967359
18,dark souls,2,2.967359
19,salt and,2,2.967359
20,and sanctuary,2,2.967359
21,of the,2,2.967359
22,salt sanctuary,2,2.967359
23,vont se,2,2.967359
24,the reviews,2,2.967359
25,the game,2,2.967359
26,i'm sure,2,2.967359
27,y'a beaucoup,1,1.48368
28,beaucoup point,1,1.48368
29,point négatif,1,1.48368
30,négatif m'amuse,1,1.48368
31,m'amuse mal,1,1.48368
32,y'a point,1,1.48368
33,point que,1,1.48368
34,que trouve,1,1.48368
35,trouve nul,1,1.48368
36,nul on,1,1.48368
37,on l'a,1,1.48368
38,l'a descriminer,1,1.48368
39,descriminer que,1,1.48368
40,que realiter,1,1.48368
41,realiter bien,1,1.48368
42,bon essayons,1,1.48368
43,essayons donner,1,1.48368
44,donner bonne,1,1.48368
45,bonne évaluation,1,1.48368
46,évaluation ce,1,1.48368
47,ce tant,1,1.48368
48,tant critiqué,1,1.48368
49,critiqué n'est,1,1.48368
50,n'est mauvais,1,1.48368
51,mauvais que,1,1.48368
52,que ça,1,1.48368
53,ça comparé,1,1.48368
54,comparé premier,1,1.48368
55,c'est vrai,1,1.48368
56,celui fais,1,1.48368
57,fais pale,1,1.48368
58,pale figure,1,1.48368
59,figure j'ai,1,1.48368
60,j'ai tout,1,1.48368
61,même voulu,1,1.48368
62,voulu lui,1,1.48368
63,lui laisser,1,1.48368
64,laisser chance,1,1.48368
65,chance me,1,1.48368
66,suis assez,1,1.48368
67,amusé problème,1,1.48368
68,problème c'est,1,1.48368
69,c'est que,1,1.48368
70,que ce,1,1.48368
71,ce enlève,1,1.48368
72,enlève tout,1,1.48368
73,qu'il avais,1,1.48368
74,avais fun,1,1.48368
75,fun premier,1,1.48368
76,premier garde,1,1.48368
77,garde bien,1,1.48368
78,bien tout,1,1.48368
79,qu'il avait,1,1.48368
80,avait fun,1,1.48368
81,fun en,1,1.48368
82,en r'ajoute,1,1.48368
83,r'ajoute même,1,1.48368
84,même genre,1,1.48368
85,genre délire,1,1.48368
86,délire mages,1,1.48368
87,mages chasser,1,1.48368
88,chasser toute,1,1.48368
89,toute map,1,1.48368
90,map ensuite,1,1.48368
91,ensuite affronter,1,1.48368
92,affronter comme,1,1.48368
93,boss veux,1,1.48368
94,veux jamais,1,1.48368
95,jamais voir,1,1.48368
96,voir ça,1,1.48368
97,ça vie,1,1.48368
98,vie metroidvania,1,1.48368
99,metroidvania c'est,1,1.48368
100,juste infame,1,1.48368
