rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,垃圾遊戲 少數打到不爽的遊戲,1,3.333333
2,少數打到不爽的遊戲 撿魂不會還錢,1,3.333333
3,撿魂不會還錢 打boss旁邊還有低能小怪會亂,1,3.333333
4,打boss旁邊還有低能小怪會亂 跑酷難跑到不行,1,3.333333
5,跑酷難跑到不行 不會吸邊,1,3.333333
6,不會吸邊 最基本的蹬牆跳死活跳不上去,1,3.333333
7,最基本的蹬牆跳死活跳不上去 風道飛不起來就是飛不起來,1,3.333333
8,風道飛不起來就是飛不起來 跑酷中間放一次性跑道,1,3.333333
9,跑酷中間放一次性跑道 要復活隊友還要花素材沒了只能回傳點,1,3.333333
10,要復活隊友還要花素材沒了只能回傳點 要換流派根本不可能重點素材完全不夠,1,3.333333
11,要換流派根本不可能重點素材完全不夠 學魔物獵人還學不明白要刷boss還要去固定點位開任務不然就要靠賽遇到,1,3.333333
12,學魔物獵人還學不明白要刷boss還要去固定點位開任務不然就要靠賽遇到 一堆傻逼設計,1,3.333333
13,一堆傻逼設計 誰買誰撞到,1,3.333333
14,原本打前兩個法師時都還覺得可以接受 沒有大家說的這麼糟嘛,1,3.333333
15,沒有大家說的這麼糟嘛 然後在打第三隻毒法師時被一個路邊偃月刀騎士亂入,1,3.333333
16,然後在打第三隻毒法師時被一個路邊偃月刀騎士亂入 不管騎士硬是將毒法師幹掉後接入過場動畫,1,3.333333
17,不管騎士硬是將毒法師幹掉後接入過場動畫 最後被偃月刀騎士瞅準我能重新控制角色的一瞬間一套連招將我送回營地時,1,3.333333
18,最後被偃月刀騎士瞅準我能重新控制角色的一瞬間一套連招將我送回營地時 我就了解廣大網民們所言不虛,1,3.333333
19,我就了解廣大網民們所言不虛 深知繼續玩下去必定有更讓我中風的白癡狀況發生,1,3.333333
20,深知繼續玩下去必定有更讓我中風的白癡狀況發生 所以馬上棄game即時止損,1,3.333333
21,所以馬上棄game即時止損 垃圾遊戲,1,3.333333
22,我終於成功通關鹽與獻祭了 我的罪已經被贖清,1,3.333333
23,我的罪已經被贖清 hate,1,3.333333
24,hate soul-like,1,3.333333
25,soul-like monster,1,3.333333
26,monster hunters,1,3.333333
27,hunters don't,1,3.333333
28,don't do,1,3.333333
29,do this,1,3.333333
30,this again,1,3.333333
31,原本想給好評的 但體驗真的跟鹽與聖所差很多,1,3.333333
32,但體驗真的跟鹽與聖所差很多 最主要一個非常非常不理解的點是,1,3.333333
33,最主要一個非常非常不理解的點是 怎麼絕大部分的小怪都過度活躍,1,3.333333
34,怎麼絕大部分的小怪都過度活躍 手短的武器連摸也摸不到敵人就可以被連打至死,1,3.333333
35,手短的武器連摸也摸不到敵人就可以被連打至死 不多的,1,3.333333
36,不多的 4擊就返回重生點,1,3.333333
37,4擊就返回重生點 後期有難打的小怪我覺得可以接受,1,3.333333
38,後期有難打的小怪我覺得可以接受 但早期都放一堆過度活躍,1,3.333333
39,但早期都放一堆過度活躍 手長,1,3.333333
40,手長 零起手,1,3.333333
41,零起手 就真的太過份,1,3.333333
42,就真的太過份 你說可以翻滾,1,3.333333
43,你說可以翻滾 但翻滾完還要走兩步手短武才能打到對方,1,3.333333
44,但翻滾完還要走兩步手短武才能打到對方 對方,1,3.333333
45,對方 小怪,1,3.333333
46,小怪 這個時侯已經回頭零起手打過來,1,3.333333
47,這個時侯已經回頭零起手打過來 還未算上有會格擋的怪,1,3.333333
48,還未算上有會格擋的怪 敵方攻擊效果又是很大問題,1,3.333333
49,敵方攻擊效果又是很大問題 粗略統計最少一半小怪都能把你打成全疊打,1,3.333333
50,粗略統計最少一半小怪都能把你打成全疊打 1對1還好,1,3.333333
51,1對1還好 法師,1,3.333333
52,法師 召喚的小怪,1,3.333333
53,召喚的小怪 真是精彩,1,3.333333
54,真是精彩 記得山洞那個青苔還是什麼法師召一對亂衝亂撞的小怪,1,3.333333
55,記得山洞那個青苔還是什麼法師召一對亂衝亂撞的小怪 撞完又撞,1,3.333333
56,撞完又撞 起身再撞,1,3.333333
57,起身再撞 除此之外還有暗位偷襲直接按你在地上磨擦的中型怪,1,3.333333
58,除此之外還有暗位偷襲直接按你在地上磨擦的中型怪 在漆黑的環境中基本上沒什麼徵兆,1,3.333333
59,在漆黑的環境中基本上沒什麼徵兆 磨一次就1,1,3.333333
60,磨一次就1 3血了,1,3.333333
61,3血了 技能樹沒多改,1,3.333333
62,技能樹沒多改 你走魔法線就沒幾多負重,1,3.333333
63,你走魔法線就沒幾多負重 一堆數值跟上集一樣完全不清晰,1,3.333333
64,一堆數值跟上集一樣完全不清晰 不知到底在升什麼,1,3.333333
65,不知到底在升什麼 鹽與聖所都沒這麼多過份的設計,1,3.333333
66,鹽與聖所都沒這麼多過份的設計 這集製作時是不是生活有點不愉快呢,1,3.333333
67,這集製作時是不是生活有點不愉快呢 真的有點好奇,1,3.333333
68,真的有點好奇 說真的不改掉小怪問題,1,3.333333
69,說真的不改掉小怪問題 這款作品真的沒得救,1,3.333333
70,這款作品真的沒得救 要魂要被打死沒問題,1,3.333333
71,要魂要被打死沒問題 問題是沒遊戲體驗,1,3.333333
72,問題是沒遊戲體驗 走到哪裡都怕被小怪摸死,1,3.333333
73,走到哪裡都怕被小怪摸死 零起手二話不說就當你棒球,1,3.333333
74,我叫你快跑 但王跑得比你還快,1,3.333333
75,但王跑得比你還快 破台了,1,3.333333
76,破台了 打完尾王真的是爛的不可思議也沒有結局的感覺,1,3.333333
77,打完尾王真的是爛的不可思議也沒有結局的感覺 糞遊,1,3.333333
78,因為1代對這代有期待 直到開始狩獵法師後開始覺得怎麼有點糞,1,3.333333
79,直到開始狩獵法師後開始覺得怎麼有點糞 隨著越玩越後面越感覺越來越糞,1,3.333333
80,隨著越玩越後面越感覺越來越糞 要獵殺法師,1,3.333333
81,要獵殺法師 法師還會瞬移要一直跑地圖追法師,1,3.333333
82,法師還會瞬移要一直跑地圖追法師 有夠浪費時間,1,3.333333
83,有夠浪費時間 多久了bug還沒修,1,3.333333
84,多久了bug還沒修 想仿魂類只會搞得困難,1,3.333333
85,想仿魂類只會搞得困難 魂類精華根本沒學到,1,3.333333
86,魂類精華根本沒學到 打完只有空虛跟寂寞,1,3.333333
87,打完只有空虛跟寂寞 搞不懂在衝三小,1,3.333333
88,好像沒有這麼糟糕 但目前看到一些問題,1,3.333333
89,但目前看到一些問題 怪物的追擊能力太強,1,3.333333
