recommendationid,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,deck_playtime_at_review,last_played,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,developer_response,timestamp_dev_responded,primarily_steam_deck
166185208,76561198010280806,0,62,2378,0,2378,,1716846186,brazilian,"Gostei do jogo. As magias  ""únicas"" em cada arma foi o que me atraiu mais para esta versão do mundo de Salt, mas logo me desapontei com o desbalanço entre armaduras. Depois de quase 40 horas ainda não entendi bem a relação entre o jogo anterior e este atual, creio que nem tenha uma. O lance de matar magos e construir itens com o loot deles é bem legal, valeu a pena caçar e matar todos eles. O coop e multiplayer são muito legais, porém vários items precisam de multiplayer e isso me fez perder vários items dentro do jogo por que não conseguia jogar online, devido a falta de players.",1716846114,1716846114,True,1,0,0.523809552192687988,0,True,False,False,,,False
166160348,76561198832073741,0,5,3500,0,3500,,1716816860,schinese,"怪物仇恨不带苏醒，只要你靠近就是一刀
很多恶意的平台设计，怪只要一刀就从500米平台给玩家打飞了
毫无意义的架势系统，也就是受击硬直
崩坏的数值导致完美弹反过于鸡肋，一刀就残血那你为什么不翻滚？而且进了pvp更是如此

以及pvp的平衡实在太烂了，大概就是见到人一脚飞踢就结束了，这就是这个游戏的pvp...
这款游戏目前好像日活跃不到100人，我觉得是有原因的

即使整个游戏体量值得票价，但是没有什么深度的设计，让人扫兴
或许盐1更好玩一点",1716817318,1716817318,False,0,0,0.5,0,True,False,False,,,False
166160129,76561198124952986,0,68,304,0,282,,1716984642,tchinese,"不推..
",1716817031,1716817031,False,0,0,0.5,1,True,False,False,,,False
166157265,76561199033738824,0,62,1705,0,1563,,1717234972,schinese,开局：找法师，打法师；后期：找换皮法师，打换皮法师。  一款魂游没有正经设计的boss，玩个毛线。,1716813071,1716813071,False,0,0,0.5,0,True,False,False,,,False
166149914,76561198310856099,66,2,18131,0,3465,,1720672764,schinese,经过1-2年的迭代，优化了多个弱智问题后，这款游戏的体验还是比较优秀的，没有风评说的那么离谱。值得推荐，建议不反感高难度和不公平对抗的玩家尝试。,1716799749,1716799749,True,1,0,0.504716992378234863,0,True,False,False,,,False
166148534,76561198069033539,0,40,644,0,565,239.0,1739661969,english,It's nice playing a Monster Hunter type game without all the tedium. Just lemme get some new armor and gear without all the extra fluff. Not better than Salt and Sanctuary but I like that they decided to make something new.,1716796848,1716796848,True,1,0,0.5,0,True,False,False,,,False
166092422,76561199001944645,0,4,1794,0,1237,,1762961481,schinese,只能说ska可以不用做游戏了，化圣山丘什么意思？人家游戏堆怪还能跑，你妈的堆跳跳乐上，跳跳乐还又臭又长，跑完了宝箱前五个黑骑士堵你小黑屋，箱子里给你塞垃圾。只能说牛批，活该你傻逼游戏挨骂，给你个红色好评,1716720072,1716720072,False,0,0,0.5,0,True,False,False,,,False
164979009,76561199564953741,209,19,2786,0,190,,1720544910,schinese,就是一坨，别玩,1715248044,1716714343,False,0,0,0.5,0,True,False,False,,,False
166074121,76561198120831439,0,4,919,0,334,,1736737626,english,Monster Hunter + Salt & S Gameplay,1716692434,1716692434,True,0,0,0.5,0,True,False,False,,,False
166071109,76561198817263913,0,3,193,0,193,,1716687735,english,its a souls like game of course there's lots of un-alive and monster to find,1716687828,1716687828,True,0,0,0.5,0,True,False,False,,,False
166044822,76561198350804801,542,4,1319,0,1319,605.0,1716651098,schinese,屎,1716656842,1716656842,False,0,0,0.5,0,True,False,False,,,False
166035036,76561198927650743,280,17,3320,0,222,,1763946631,brazilian,"jogo pogger, mas muito confuso, fico perdido toda hora",1716646708,1716646708,True,0,0,0.5,0,True,False,False,,,False
166023114,76561199220159792,212,29,1074,0,1074,,1716631857,schinese,法师追逐战打的我血压拉满，感觉真就把一代的糟粕留下，精华去掉,1716631932,1716631932,False,1,0,0.523809552192687988,0,False,False,False,,,False
166019424,76561198053195117,0,28,1785,0,1326,,1716653475,koreana,"다른 사람들이 말하는 몬헌식 마법사 추격전, 잡몹 소환, 필드 낙사
이런건 저한테 아무런 불쾌감을 주지 못했습니다. 전투가 재미있으면 그만이거든요

위에 적힌 단점들은 커버하려면 1편에서 느꼈던 그 암울한 세계관과 걸맞는 즐거운 액션의 경험을 선사해줘야 하는데
이 게임은 그것마저 실패했습니다.

제작진의 상상력이 부족했는지 적과 보스들의 패턴이 마치 2d 게임이라는걸 망각한듯한 패턴들이 도배되어 있습니다.

가벼운 무기로는 절대 뚫리지 않는 적의 가드, 프롬게임이었으면 적의 뒤를 잡아 공격하여 가드를 해제하겠지만, 이 게임, 구르기 한번으로 뒤 잡는게 편한걸 산정하였는지 적도 가드한채로 즉발로 뒤를 돌아버립니다. 결국 수동적으로 적이 가드를 풀고 나한테 돌진할 때까지 거리 벌리고 멀뚱히 서있는 수밖에 없네요.

가장 극혐인 요소는 이 게임이 2d인데 보스들의 패턴이 설치형, 장판형 패턴으로 도배되어 있습니다. 굴러도 구른 곳에 장판을 깔아놨네? 그럼 얄짤없이 처맞습니다. 이러한 패턴의 파훼법은 그냥 도망다니면서 거리 벌리고 장판이 사라질때까지 기다리는겁니다. 장판의 사각지대 따윈 없으니까요. 

이러한 요소들 때문에 가까이 붙어서 인파이팅한다는건 정말 리스크밖에 남지 않게 됩니다. 결국 전투도 딜찍 or 수동적인 플레이만 남게 되어 파고들 요소마저 사라졌습니다.

1편으로 소울라이크 장르에 입덕하여 솔트 시리즈에 정말 좋은 기억과 애정이 가득하였는데 2편이 이렇게 실망스러울 줄 상상도 못했네요..",1716626619,1716626619,False,2,0,0.545454561710357666,0,True,False,False,,,False
