rank,token,frequency,relative_frequency_per_1000_tokens
1,h2,10,12.210012
2,法師,3,3.663004
3,法師不會回血,3,3.663004
4,垃圾遊戲,2,2.442002
5,首先,2,2.442002
6,boss,2,2.442002
7,spoiler,2,2.442002
8,strike,2,2.442002
9,兩個人玩很順暢好玩,1,1.221001
10,負評很多根本就自己菜,1,1.221001
11,不用太過擔心,1,1.221001
12,很享受的15小時,1,1.221001
13,好玩,1,1.221001
14,相比一代加了一堆東西搞得本作不倫不類的,1,1.221001
15,劇情也看不懂在幹嘛,1,1.221001
16,少數打到不爽的遊戲,1,1.221001
17,撿魂不會還錢,1,1.221001
18,打boss旁邊還有低能小怪會亂,1,1.221001
19,跑酷難跑到不行,1,1.221001
20,不會吸邊,1,1.221001
21,最基本的蹬牆跳死活跳不上去,1,1.221001
22,風道飛不起來就是飛不起來,1,1.221001
23,跑酷中間放一次性跑道,1,1.221001
24,要復活隊友還要花素材沒了只能回傳點,1,1.221001
25,要換流派根本不可能重點素材完全不夠,1,1.221001
26,學魔物獵人還學不明白要刷boss還要去固定點位開任務不然就要靠賽遇到,1,1.221001
27,一堆傻逼設計,1,1.221001
28,誰買誰撞到,1,1.221001
29,已遊玩15小時,1,1.221001
30,還未破關,1,1.221001
31,職業我依舊是選盜賊,1,1.221001
32,情有獨鍾,1,1.221001
33,目前還沒試過玩連線,1,1.221001
34,以下是自己的心得淺見,1,1.221001
35,與一代相比,1,1.221001
36,美術畫風,1,1.221001
37,畫面比一代豐富有層次,1,1.221001
38,人物的捏臉特色有比較鮮明,1,1.221001
39,方尖碑取代了至聖所的祭壇,1,1.221001
40,分布算蠻多的補給和存檔都方便,1,1.221001
41,傳送地圖的方式不需要在擺人偶,1,1.221001
42,地圖第一代比較多隱藏的暗門,1,1.221001
43,二代需要吞噬法師心臟來一邊推進,1,1.221001
44,地圖的機關依樣要拿到特殊道具或是技能才能解開,1,1.221001
45,兩者地圖的設計依樣都很有巧思和創意,1,1.221001
46,第一次玩一代的時候已經好久以前了,1,1.221001
47,一開始玩印象是很難上手初期打boos都是翻滾,1,1.221001
48,搓一刀慢慢磨,1,1.221001
49,到後期越打越輕鬆,1,1.221001
50,玩二代時可能已經有經驗和被其他魂類的遊戲調教過,1,1.221001
51,很自虐的玩家,1,1.221001
52,感覺比較好上手,1,1.221001
53,除了一開始的劇情殺,1,1.221001
54,初次打boos就建立了滿滿的信心,1,1.221001
55,主線內容,1,1.221001
56,二代的主線劇情比較明確,1,1.221001
57,npc直接說明下一步要做什麼,1,1.221001
58,比較不會迷失,1,1.221001
59,如果想單純的狩獵法師也可以,1,1.221001
60,boos被玩家擊敗後的對話有會讓人感是到人物設計的用心,1,1.221001
61,雖然我沒什麼在看,1,1.221001
62,人物刻劃比較細膩,1,1.221001
63,內容豐富很多,1,1.221001
64,第一代玩到二周目還是沒有找到公主xd,1,1.221001
65,以上全是個人心得感覺,1,1.221001
66,不是專業講評人,1,1.221001
67,推薦給和我一樣喜歡探索遊戲世界,1,1.221001
68,默默的磨練遊戲技術的玩家,1,1.221001
69,這款遊戲不會讓你失望,1,1.221001
70,原本打前兩個法師時都還覺得可以接受,1,1.221001
71,沒有大家說的這麼糟嘛,1,1.221001
72,然後在打第三隻毒法師時被一個路邊偃月刀騎士亂入,1,1.221001
73,不管騎士硬是將毒法師幹掉後接入過場動畫,1,1.221001
74,最後被偃月刀騎士瞅準我能重新控制角色的一瞬間一套連招將我送回營地時,1,1.221001
75,我就了解廣大網民們所言不虛,1,1.221001
76,深知繼續玩下去必定有更讓我中風的白癡狀況發生,1,1.221001
77,所以馬上棄game即時止損,1,1.221001
78,我終於成功通關鹽與獻祭了,1,1.221001
79,我的罪已經被贖清,1,1.221001
80,hate,1,1.221001
81,soul-like,1,1.221001
82,monster,1,1.221001
83,hunters,1,1.221001
84,don't,1,1.221001
85,do,1,1.221001
86,this,1,1.221001
87,again,1,1.221001
88,一無可取,1,1.221001
89,其實,1,1.221001
90,沒那麼糟,1,1.221001
91,預設心態擺在一代的話,1,1.221001
92,那真的不夠好,1,1.221001
93,但是分開來看,1,1.221001
94,這款也是有它的特色與樂趣,1,1.221001
95,地圖,1,1.221001
96,混戰,1,1.221001
97,花式被打飛摔落等等一堆缺點大家都講了,1,1.221001
98,地圖只能說創新嘗試大失敗,1,1.221001
99,應該是為了新的要素,1,1.221001
100,鉤索,1,1.221001
101,而設計,1,1.221001
102,配合不斷把你打飛且十分混亂的戰鬥,1,1.221001
103,最後噁心到玩家,1,1.221001
104,然後一直跑一直跑的法師,1,1.221001
105,確實很惱人,1,1.221001
106,要不是主目標有提示不然大概在某次追丟後就放棄了吧,1,1.221001
107,混戰的部分,1,1.221001
108,其實有嘗到甜頭,1,1.221001
109,法師步跑的最後一個區域就是決戰點,1,1.221001
110,剛好有其他法師跑來的話,1,1.221001
111,充當打手或是吸仇恨都很好用,1,1.221001
112,甚至法師被兩個菁英怪圍毆到能處決也是見過,1,1.221001
113,只能說是嘗試但是很失敗,1,1.221001
114,還是有優點啦,1,1.221001
115,基本戰鬥系統跟一代一樣,1,1.221001
116,操控手感還是很舒服,1,1.221001
117,我很喜歡,1,1.221001
118,武器細分很多,1,1.221001
119,有好有壞,1,1.221001
120,有些喜歡的武器設計的不錯所以以加分,1,1.221001
121,武士刀,1,1.221001
122,魔法變成戰技,1,1.221001
123,讓使用率提高,1,1.221001
124,不然一代走力量敏捷就跟魔法無緣了,1,1.221001
125,追法師到最後決戰前,1,1.221001
126,可以補給再上,1,1.221001
127,所以其實決戰難度不高,1,1.221001
128,每個法師幾乎都是初見就過,1,1.221001
129,結論,1,1.221001
130,戰鬥本身變得豐富有趣,1,1.221001
131,地圖探索過程倒吃甘蔗,1,1.221001
132,玩到後面缺點習慣,1,1.221001
133,克服,1,1.221001
134,了之後就不成阻礙,1,1.221001
135,但地圖設計噁心明顯大於用心,1,1.221001
136,連線合作做得不錯,1,1.221001
137,剛好可以克服不少噁心處,1,1.221001
138,感謝一路上陌生的玩家協助打boss與帶路,1,1.221001
139,可以打折入手,1,1.221001
140,但要有毅力玩完,1,1.221001
