rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,法師不會回血 法師不會回血,2,2.567394
2,兩個人玩很順暢好玩 負評很多根本就自己菜,1,1.283697
3,負評很多根本就自己菜 不用太過擔心,1,1.283697
4,不用太過擔心 很享受的15小時,1,1.283697
5,相比一代加了一堆東西搞得本作不倫不類的 劇情也看不懂在幹嘛,1,1.283697
6,垃圾遊戲 少數打到不爽的遊戲,1,1.283697
7,少數打到不爽的遊戲 撿魂不會還錢,1,1.283697
8,撿魂不會還錢 打boss旁邊還有低能小怪會亂,1,1.283697
9,打boss旁邊還有低能小怪會亂 跑酷難跑到不行,1,1.283697
10,跑酷難跑到不行 不會吸邊,1,1.283697
11,不會吸邊 最基本的蹬牆跳死活跳不上去,1,1.283697
12,最基本的蹬牆跳死活跳不上去 風道飛不起來就是飛不起來,1,1.283697
13,風道飛不起來就是飛不起來 跑酷中間放一次性跑道,1,1.283697
14,跑酷中間放一次性跑道 要復活隊友還要花素材沒了只能回傳點,1,1.283697
15,要復活隊友還要花素材沒了只能回傳點 要換流派根本不可能重點素材完全不夠,1,1.283697
16,要換流派根本不可能重點素材完全不夠 學魔物獵人還學不明白要刷boss還要去固定點位開任務不然就要靠賽遇到,1,1.283697
17,學魔物獵人還學不明白要刷boss還要去固定點位開任務不然就要靠賽遇到 一堆傻逼設計,1,1.283697
18,一堆傻逼設計 誰買誰撞到,1,1.283697
19,已遊玩15小時 還未破關,1,1.283697
20,還未破關 職業我依舊是選盜賊,1,1.283697
21,職業我依舊是選盜賊 情有獨鍾,1,1.283697
22,情有獨鍾 目前還沒試過玩連線,1,1.283697
23,目前還沒試過玩連線 以下是自己的心得淺見,1,1.283697
24,以下是自己的心得淺見 與一代相比,1,1.283697
25,與一代相比 美術畫風,1,1.283697
26,美術畫風 畫面比一代豐富有層次,1,1.283697
27,畫面比一代豐富有層次 人物的捏臉特色有比較鮮明,1,1.283697
28,人物的捏臉特色有比較鮮明 方尖碑取代了至聖所的祭壇,1,1.283697
29,方尖碑取代了至聖所的祭壇 分布算蠻多的補給和存檔都方便,1,1.283697
30,分布算蠻多的補給和存檔都方便 傳送地圖的方式不需要在擺人偶,1,1.283697
31,傳送地圖的方式不需要在擺人偶 地圖第一代比較多隱藏的暗門,1,1.283697
32,地圖第一代比較多隱藏的暗門 二代需要吞噬法師心臟來一邊推進,1,1.283697
33,二代需要吞噬法師心臟來一邊推進 地圖的機關依樣要拿到特殊道具或是技能才能解開,1,1.283697
34,地圖的機關依樣要拿到特殊道具或是技能才能解開 兩者地圖的設計依樣都很有巧思和創意,1,1.283697
35,兩者地圖的設計依樣都很有巧思和創意 第一次玩一代的時候已經好久以前了,1,1.283697
36,第一次玩一代的時候已經好久以前了 一開始玩印象是很難上手初期打boos都是翻滾,1,1.283697
37,一開始玩印象是很難上手初期打boos都是翻滾 搓一刀慢慢磨,1,1.283697
38,搓一刀慢慢磨 到後期越打越輕鬆,1,1.283697
39,到後期越打越輕鬆 玩二代時可能已經有經驗和被其他魂類的遊戲調教過,1,1.283697
40,玩二代時可能已經有經驗和被其他魂類的遊戲調教過 很自虐的玩家,1,1.283697
41,很自虐的玩家 感覺比較好上手,1,1.283697
42,感覺比較好上手 除了一開始的劇情殺,1,1.283697
43,除了一開始的劇情殺 初次打boos就建立了滿滿的信心,1,1.283697
44,初次打boos就建立了滿滿的信心 主線內容,1,1.283697
45,主線內容 二代的主線劇情比較明確,1,1.283697
46,二代的主線劇情比較明確 npc直接說明下一步要做什麼,1,1.283697
47,npc直接說明下一步要做什麼 比較不會迷失,1,1.283697
48,比較不會迷失 如果想單純的狩獵法師也可以,1,1.283697
49,如果想單純的狩獵法師也可以 boos被玩家擊敗後的對話有會讓人感是到人物設計的用心,1,1.283697
50,boos被玩家擊敗後的對話有會讓人感是到人物設計的用心 雖然我沒什麼在看,1,1.283697
51,雖然我沒什麼在看 人物刻劃比較細膩,1,1.283697
52,人物刻劃比較細膩 內容豐富很多,1,1.283697
53,內容豐富很多 第一代玩到二周目還是沒有找到公主xd,1,1.283697
54,第一代玩到二周目還是沒有找到公主xd 以上全是個人心得感覺,1,1.283697
55,以上全是個人心得感覺 不是專業講評人,1,1.283697
56,不是專業講評人 推薦給和我一樣喜歡探索遊戲世界,1,1.283697
57,推薦給和我一樣喜歡探索遊戲世界 默默的磨練遊戲技術的玩家,1,1.283697
58,默默的磨練遊戲技術的玩家 這款遊戲不會讓你失望,1,1.283697
59,原本打前兩個法師時都還覺得可以接受 沒有大家說的這麼糟嘛,1,1.283697
60,沒有大家說的這麼糟嘛 然後在打第三隻毒法師時被一個路邊偃月刀騎士亂入,1,1.283697
61,然後在打第三隻毒法師時被一個路邊偃月刀騎士亂入 不管騎士硬是將毒法師幹掉後接入過場動畫,1,1.283697
62,不管騎士硬是將毒法師幹掉後接入過場動畫 最後被偃月刀騎士瞅準我能重新控制角色的一瞬間一套連招將我送回營地時,1,1.283697
63,最後被偃月刀騎士瞅準我能重新控制角色的一瞬間一套連招將我送回營地時 我就了解廣大網民們所言不虛,1,1.283697
64,我就了解廣大網民們所言不虛 深知繼續玩下去必定有更讓我中風的白癡狀況發生,1,1.283697
65,深知繼續玩下去必定有更讓我中風的白癡狀況發生 所以馬上棄game即時止損,1,1.283697
66,所以馬上棄game即時止損 垃圾遊戲,1,1.283697
67,我終於成功通關鹽與獻祭了 我的罪已經被贖清,1,1.283697
68,我的罪已經被贖清 hate,1,1.283697
69,hate soul-like,1,1.283697
70,soul-like monster,1,1.283697
71,monster hunters,1,1.283697
72,hunters don't,1,1.283697
73,don't do,1,1.283697
74,do this,1,1.283697
75,this again,1,1.283697
76,其實 沒那麼糟,1,1.283697
77,沒那麼糟 預設心態擺在一代的話,1,1.283697
78,預設心態擺在一代的話 那真的不夠好,1,1.283697
79,那真的不夠好 但是分開來看,1,1.283697
80,但是分開來看 這款也是有它的特色與樂趣,1,1.283697
81,這款也是有它的特色與樂趣 地圖,1,1.283697
82,地圖 法師,1,1.283697
83,法師 混戰,1,1.283697
84,混戰 花式被打飛摔落等等一堆缺點大家都講了,1,1.283697
85,花式被打飛摔落等等一堆缺點大家都講了 地圖只能說創新嘗試大失敗,1,1.283697
86,地圖只能說創新嘗試大失敗 應該是為了新的要素,1,1.283697
87,應該是為了新的要素 鉤索,1,1.283697
88,鉤索 而設計,1,1.283697
89,而設計 配合不斷把你打飛且十分混亂的戰鬥,1,1.283697
90,配合不斷把你打飛且十分混亂的戰鬥 最後噁心到玩家,1,1.283697
91,最後噁心到玩家 然後一直跑一直跑的法師,1,1.283697
92,然後一直跑一直跑的法師 確實很惱人,1,1.283697
93,確實很惱人 要不是主目標有提示不然大概在某次追丟後就放棄了吧,1,1.283697
94,要不是主目標有提示不然大概在某次追丟後就放棄了吧 混戰的部分,1,1.283697
95,混戰的部分 其實有嘗到甜頭,1,1.283697
96,其實有嘗到甜頭 法師步跑的最後一個區域就是決戰點,1,1.283697
97,法師步跑的最後一個區域就是決戰點 剛好有其他法師跑來的話,1,1.283697
98,剛好有其他法師跑來的話 充當打手或是吸仇恨都很好用,1,1.283697
99,充當打手或是吸仇恨都很好用 甚至法師被兩個菁英怪圍毆到能處決也是見過,1,1.283697
100,甚至法師被兩個菁英怪圍毆到能處決也是見過 只能說是嘗試但是很失敗,1,1.283697
