rank,token,frequency,relative_frequency_per_1000_tokens
1,垃圾遊戲,2,6.309148
2,法師,2,6.309148
3,少數打到不爽的遊戲,1,3.154574
4,撿魂不會還錢,1,3.154574
5,打boss旁邊還有低能小怪會亂,1,3.154574
6,跑酷難跑到不行,1,3.154574
7,不會吸邊,1,3.154574
8,最基本的蹬牆跳死活跳不上去,1,3.154574
9,風道飛不起來就是飛不起來,1,3.154574
10,跑酷中間放一次性跑道,1,3.154574
11,要復活隊友還要花素材沒了只能回傳點,1,3.154574
12,要換流派根本不可能重點素材完全不夠,1,3.154574
13,學魔物獵人還學不明白要刷boss還要去固定點位開任務不然就要靠賽遇到,1,3.154574
14,一堆傻逼設計,1,3.154574
15,誰買誰撞到,1,3.154574
16,原本打前兩個法師時都還覺得可以接受,1,3.154574
17,沒有大家說的這麼糟嘛,1,3.154574
18,然後在打第三隻毒法師時被一個路邊偃月刀騎士亂入,1,3.154574
19,不管騎士硬是將毒法師幹掉後接入過場動畫,1,3.154574
20,最後被偃月刀騎士瞅準我能重新控制角色的一瞬間一套連招將我送回營地時,1,3.154574
21,我就了解廣大網民們所言不虛,1,3.154574
22,深知繼續玩下去必定有更讓我中風的白癡狀況發生,1,3.154574
23,所以馬上棄game即時止損,1,3.154574
24,我終於成功通關鹽與獻祭了,1,3.154574
25,我的罪已經被贖清,1,3.154574
26,hate,1,3.154574
27,soul-like,1,3.154574
28,monster,1,3.154574
29,hunters,1,3.154574
30,don't,1,3.154574
31,do,1,3.154574
32,this,1,3.154574
33,again,1,3.154574
34,一無可取,1,3.154574
35,原本想給好評的,1,3.154574
36,但體驗真的跟鹽與聖所差很多,1,3.154574
37,最主要一個非常非常不理解的點是,1,3.154574
38,怎麼絕大部分的小怪都過度活躍,1,3.154574
39,手短的武器連摸也摸不到敵人就可以被連打至死,1,3.154574
40,不多的,1,3.154574
41,4擊就返回重生點,1,3.154574
42,後期有難打的小怪我覺得可以接受,1,3.154574
43,但早期都放一堆過度活躍,1,3.154574
44,手長,1,3.154574
45,零起手,1,3.154574
46,就真的太過份,1,3.154574
47,你說可以翻滾,1,3.154574
48,但翻滾完還要走兩步手短武才能打到對方,1,3.154574
49,對方,1,3.154574
50,小怪,1,3.154574
51,這個時侯已經回頭零起手打過來,1,3.154574
52,還未算上有會格擋的怪,1,3.154574
53,敵方攻擊效果又是很大問題,1,3.154574
54,粗略統計最少一半小怪都能把你打成全疊打,1,3.154574
55,1對1還好,1,3.154574
56,召喚的小怪,1,3.154574
57,真是精彩,1,3.154574
58,記得山洞那個青苔還是什麼法師召一對亂衝亂撞的小怪,1,3.154574
59,撞完又撞,1,3.154574
60,起身再撞,1,3.154574
61,除此之外還有暗位偷襲直接按你在地上磨擦的中型怪,1,3.154574
62,在漆黑的環境中基本上沒什麼徵兆,1,3.154574
63,磨一次就1,1,3.154574
64,3血了,1,3.154574
65,技能樹沒多改,1,3.154574
66,你走魔法線就沒幾多負重,1,3.154574
67,一堆數值跟上集一樣完全不清晰,1,3.154574
68,不知到底在升什麼,1,3.154574
69,鹽與聖所都沒這麼多過份的設計,1,3.154574
70,這集製作時是不是生活有點不愉快呢,1,3.154574
71,真的有點好奇,1,3.154574
72,說真的不改掉小怪問題,1,3.154574
73,這款作品真的沒得救,1,3.154574
74,要魂要被打死沒問題,1,3.154574
75,問題是沒遊戲體驗,1,3.154574
76,走到哪裡都怕被小怪摸死,1,3.154574
77,零起手二話不說就當你棒球,1,3.154574
78,我叫你快跑,1,3.154574
79,但王跑得比你還快,1,3.154574
80,破台了,1,3.154574
81,打完尾王真的是爛的不可思議也沒有結局的感覺,1,3.154574
82,糞遊,1,3.154574
83,因為1代對這代有期待,1,3.154574
84,直到開始狩獵法師後開始覺得怎麼有點糞,1,3.154574
85,隨著越玩越後面越感覺越來越糞,1,3.154574
86,要獵殺法師,1,3.154574
87,法師還會瞬移要一直跑地圖追法師,1,3.154574
88,有夠浪費時間,1,3.154574
89,多久了bug還沒修,1,3.154574
90,想仿魂類只會搞得困難,1,3.154574
91,魂類精華根本沒學到,1,3.154574
92,打完只有空虛跟寂寞,1,3.154574
93,搞不懂在衝三小,1,3.154574
94,不推,1,3.154574
95,低血壓治療器,1,3.154574
