rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,5,4.504505
2,h1 まとめ,2,1.801802
3,まとめ h1,2,1.801802
4,spoiler h3,2,1.801802
5,and sacrifice,2,1.801802
6,can not,1,0.900901
7,not level,1,0.900901
8,level up,1,0.900901
9,up my,1,0.900901
10,my character,1,0.900901
11,character with,1,0.900901
12,with mouse,1,0.900901
13,mouse and,1,0.900901
14,and keyboard,1,0.900901
15,評価変更 ローカルマルチ,1,0.900901
16,ローカルマルチ lv310,1,0.900901
17,lv310 pt等にオンラインマルチで参加した場合にlvシンクがlv100位になる不具合が修正されない,1,0.900901
18,pt等にオンラインマルチで参加した場合にlvシンクがlv100位になる不具合が修正されない 尚且,1,0.900901
19,尚且 lv600,1,0.900901
20,lv600 650ptに参加すると更に低くなる,1,0.900901
21,650ptに参加すると更に低くなる lv600ptにlv45で参加になったりして意味不明,1,0.900901
22,lv600ptにlv45で参加になったりして意味不明 version2以前の時にフィールドバック有志で行ったが解決されていない,1,0.900901
23,version2以前の時にフィールドバック有志で行ったが解決されていない 進行不能な不具合放置する開発者の姿勢に疑問,1,0.900901
24,進行不能な不具合放置する開発者の姿勢に疑問 ソルとアンドサクリファイス4アカウント購入してlv999キャラ複数作成したほどプレイ済,1,0.900901
25,ソルとアンドサクリファイス4アカウント購入してlv999キャラ複数作成したほどプレイ済 ng10,1,0.900901
26,ng10 lv999,1,0.900901
27,lv999 3キャラ,1,0.900901
28,3キャラ ng10,1,0.900901
29,ng10 3３キャラ,1,0.900901
30,3３キャラ エピックストトア２キャラng10,1,0.900901
31,エピックストトア２キャラng10 対人戦が面白い,1,0.900901
32,前作をプレイして 続編ということでかなり期待をしていましたが,1,0.900901
33,続編ということでかなり期待をしていましたが ソウルライクと某ハンティングゲームを混ぜたようなゲームです,1,0.900901
34,ソウルライクと某ハンティングゲームを混ぜたようなゲームです 前作同様のゲームと思って購入するとかなり痛い目をみます,1,0.900901
35,前作同様のゲームと思って購入するとかなり痛い目をみます 楽しめず,1,0.900901
36,楽しめず 挫折をして途中でやめてしまいましたが,1,0.900901
37,挫折をして途中でやめてしまいましたが ソウルライクの良さを消すような某ハンティングゲーム要素の足し算です,1,0.900901
38,ソウルライクの良さを消すような某ハンティングゲーム要素の足し算です 魔導士を狩る,1,0.900901
39,魔導士を狩る 武具を育てる,1,0.900901
40,武具を育てる スキルを覚えて進める場所が増える,1,0.900901
41,スキルを覚えて進める場所が増える という流れにはなると思いますが,1,0.900901
42,という流れにはなると思いますが まず魔導士が逃げる,1,0.900901
43,まず魔導士が逃げる それを追いかける上で道中ソウルライクならではのギミックや雑魚的との戦闘が多々ある,1,0.900901
44,それを追いかける上で道中ソウルライクならではのギミックや雑魚的との戦闘が多々ある 魔導士も何度も逃げるので追いかける手間もさることながら,1,0.900901
45,魔導士も何度も逃げるので追いかける手間もさることながら 雑魚的のガードの強さ,1,0.900901
46,雑魚的のガードの強さ ひるみにくさ,1,0.900901
47,ひるみにくさ ガード不可攻撃の多さにやきもきさせられます,1,0.900901
48,ガード不可攻撃の多さにやきもきさせられます しかも,1,0.900901
49,しかも 魔導士を何度も倒し,1,0.900901
50,魔導士を何度も倒し 素材を集め,1,0.900901
51,素材を集め 武具を作るので,1,0.900901
52,武具を作るので ひたすら同じボスを追いかけまわし,1,0.900901
53,ひたすら同じボスを追いかけまわし 倒して,1,0.900901
54,倒して というソウルライクの良さを消す仕様となっています,1,0.900901
55,というソウルライクの良さを消す仕様となっています 新しいジャンルのゲームとして認識しつつ,1,0.900901
56,新しいジャンルのゲームとして認識しつつ 理不尽さをかみしめながらクリアを目指せる人にはもってこい,1,0.900901
57,理不尽さをかみしめながらクリアを目指せる人にはもってこい かもしれませんが,1,0.900901
58,かもしれませんが ソウルライクというジャンルではないと自分は思います,1,0.900901
59,ボスが逃げるとか ストーリーが微妙とか,1,0.900901
60,ストーリーが微妙とか マップの方式がダメだとか,1,0.900901
61,マップの方式がダメだとか そういうことは置いといて最悪な点が1つある,1,0.900901
62,そういうことは置いといて最悪な点が1つある ビルドの構築面白く無さすぎだろ,1,0.900901
63,ビルドの構築面白く無さすぎだろ 好きな武器みたいな装備はできません,1,0.900901
64,好きな武器みたいな装備はできません ヴァンファードという盾,1,0.900901
65,ヴァンファードという盾 片手剣のセット武器しか盾は使えないしパリィも無い,1,0.900901
66,片手剣のセット武器しか盾は使えないしパリィも無い 武器には個別にスキルが付いている場合が多いのだが,1,0.900901
67,武器には個別にスキルが付いている場合が多いのだが 神聖,1,0.900901
68,神聖 禁忌の2つに分かれていてさらにそれぞれにフォーカス消費,1,0.900901
69,禁忌の2つに分かれていてさらにそれぞれにフォーカス消費 mp,1,0.900901
70,mp レイジ消費,1,0.900901
71,レイジ消費 攻撃により溜まるゲージ,1,0.900901
72,攻撃により溜まるゲージ の2つに分かれており,1,0.900901
73,の2つに分かれており スキルツリーで神聖か禁忌のどちらかを上げていないとただ武器を振り回すことになる,1,0.900901
74,スキルツリーで神聖か禁忌のどちらかを上げていないとただ武器を振り回すことになる つまり筋力武器に禁忌のスキルが付いてたり神聖のスキルが付いてたりするから筋力しか能力を上げてないとまるで武器が使えないぞ,1,0.900901
75,つまり筋力武器に禁忌のスキルが付いてたり神聖のスキルが付いてたりするから筋力しか能力を上げてないとまるで武器が使えないぞ 筋力武器の選択肢が少ないし弱い,1,0.900901
76,筋力武器の選択肢が少ないし弱い 技量武器の方が強い,1,0.900901
77,技量武器の方が強い 大きい武器が弱い,1,0.900901
78,大きい武器が弱い 前作を比べるとリーチ周りがかなり弱体化していて強みが無い,1,0.900901
79,前作を比べるとリーチ周りがかなり弱体化していて強みが無い ボスの攻撃も苛烈なので後隙の大きい武器は一撃すら入れられない場合が多い,1,0.900901
80,ボスの攻撃も苛烈なので後隙の大きい武器は一撃すら入れられない場合が多い 得意の強靭削りも小型武器のコンボ攻撃で十分なので使う価値が無い,1,0.900901
81,得意の強靭削りも小型武器のコンボ攻撃で十分なので使う価値が無い おまけ評価,1,0.900901
82,おまけ評価 マップが選択式になったため,1,0.900901
83,マップが選択式になったため 前作のような実は頭上の遥か上に隠しステージが,1,0.900901
84,前作のような実は頭上の遥か上に隠しステージが という感動が無い,1,0.900901
85,という感動が無い ゲーム体験として一つ大事なものを失っている,1,0.900901
86,ゲーム体験として一つ大事なものを失っている ボスの造形が皆同じ,1,0.900901
87,ボスの造形が皆同じ 騎士,1,0.900901
88,騎士 バケモノ,1,0.900901
89,バケモノ 空中タイプ,1,0.900901
90,空中タイプ デカいドラゴン,1,0.900901
91,デカいドラゴン 前作はボス戦前の蝋燭が見えたら一体どんな敵が来るのかとワクワクしていたんだけど,1,0.900901
92,前作はボス戦前の蝋燭が見えたら一体どんな敵が来るのかとワクワクしていたんだけど ゲーム体験として一つ大事なものを失っている,1,0.900901
