rank,token,frequency,relative_frequency_per_1000_tokens
1,h2,10,19.920319
2,法師不會回血,3,5.976096
3,首先,2,3.984064
4,boss,2,3.984064
5,spoiler,2,3.984064
6,strike,2,3.984064
7,兩個人玩很順暢好玩,1,1.992032
8,負評很多根本就自己菜,1,1.992032
9,不用太過擔心,1,1.992032
10,很享受的15小時,1,1.992032
11,好玩,1,1.992032
12,相比一代加了一堆東西搞得本作不倫不類的,1,1.992032
13,劇情也看不懂在幹嘛,1,1.992032
14,已遊玩15小時,1,1.992032
15,還未破關,1,1.992032
16,職業我依舊是選盜賊,1,1.992032
17,情有獨鍾,1,1.992032
18,目前還沒試過玩連線,1,1.992032
19,以下是自己的心得淺見,1,1.992032
20,與一代相比,1,1.992032
21,美術畫風,1,1.992032
22,畫面比一代豐富有層次,1,1.992032
23,人物的捏臉特色有比較鮮明,1,1.992032
24,方尖碑取代了至聖所的祭壇,1,1.992032
25,分布算蠻多的補給和存檔都方便,1,1.992032
26,傳送地圖的方式不需要在擺人偶,1,1.992032
27,地圖第一代比較多隱藏的暗門,1,1.992032
28,二代需要吞噬法師心臟來一邊推進,1,1.992032
29,地圖的機關依樣要拿到特殊道具或是技能才能解開,1,1.992032
30,兩者地圖的設計依樣都很有巧思和創意,1,1.992032
31,第一次玩一代的時候已經好久以前了,1,1.992032
32,一開始玩印象是很難上手初期打boos都是翻滾,1,1.992032
33,搓一刀慢慢磨,1,1.992032
34,到後期越打越輕鬆,1,1.992032
35,玩二代時可能已經有經驗和被其他魂類的遊戲調教過,1,1.992032
36,很自虐的玩家,1,1.992032
37,感覺比較好上手,1,1.992032
38,除了一開始的劇情殺,1,1.992032
39,初次打boos就建立了滿滿的信心,1,1.992032
40,主線內容,1,1.992032
41,二代的主線劇情比較明確,1,1.992032
42,npc直接說明下一步要做什麼,1,1.992032
43,比較不會迷失,1,1.992032
44,如果想單純的狩獵法師也可以,1,1.992032
45,boos被玩家擊敗後的對話有會讓人感是到人物設計的用心,1,1.992032
46,雖然我沒什麼在看,1,1.992032
47,人物刻劃比較細膩,1,1.992032
48,內容豐富很多,1,1.992032
49,第一代玩到二周目還是沒有找到公主xd,1,1.992032
50,以上全是個人心得感覺,1,1.992032
51,不是專業講評人,1,1.992032
52,推薦給和我一樣喜歡探索遊戲世界,1,1.992032
