rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,5,8.038585
2,h1 まとめ,2,3.215434
3,まとめ h1,2,3.215434
4,spoiler h3,2,3.215434
5,and sacrifice,2,3.215434
6,can not,1,1.607717
7,not level,1,1.607717
8,level up,1,1.607717
9,up my,1,1.607717
10,my character,1,1.607717
11,character with,1,1.607717
12,with mouse,1,1.607717
13,mouse and,1,1.607717
14,and keyboard,1,1.607717
15,評価変更 ローカルマルチ,1,1.607717
16,ローカルマルチ lv310,1,1.607717
17,lv310 pt等にオンラインマルチで参加した場合にlvシンクがlv100位になる不具合が修正されない,1,1.607717
18,pt等にオンラインマルチで参加した場合にlvシンクがlv100位になる不具合が修正されない 尚且,1,1.607717
19,尚且 lv600,1,1.607717
20,lv600 650ptに参加すると更に低くなる,1,1.607717
21,650ptに参加すると更に低くなる lv600ptにlv45で参加になったりして意味不明,1,1.607717
22,lv600ptにlv45で参加になったりして意味不明 version2以前の時にフィールドバック有志で行ったが解決されていない,1,1.607717
23,version2以前の時にフィールドバック有志で行ったが解決されていない 進行不能な不具合放置する開発者の姿勢に疑問,1,1.607717
24,進行不能な不具合放置する開発者の姿勢に疑問 ソルとアンドサクリファイス4アカウント購入してlv999キャラ複数作成したほどプレイ済,1,1.607717
25,ソルとアンドサクリファイス4アカウント購入してlv999キャラ複数作成したほどプレイ済 ng10,1,1.607717
26,ng10 lv999,1,1.607717
27,lv999 3キャラ,1,1.607717
28,3キャラ ng10,1,1.607717
29,ng10 3３キャラ,1,1.607717
30,3３キャラ エピックストトア２キャラng10,1,1.607717
31,エピックストトア２キャラng10 対人戦が面白い,1,1.607717
32,前作をプレイして 続編ということでかなり期待をしていましたが,1,1.607717
33,続編ということでかなり期待をしていましたが ソウルライクと某ハンティングゲームを混ぜたようなゲームです,1,1.607717
34,ソウルライクと某ハンティングゲームを混ぜたようなゲームです 前作同様のゲームと思って購入するとかなり痛い目をみます,1,1.607717
35,前作同様のゲームと思って購入するとかなり痛い目をみます 楽しめず,1,1.607717
36,楽しめず 挫折をして途中でやめてしまいましたが,1,1.607717
37,挫折をして途中でやめてしまいましたが ソウルライクの良さを消すような某ハンティングゲーム要素の足し算です,1,1.607717
38,ソウルライクの良さを消すような某ハンティングゲーム要素の足し算です 魔導士を狩る,1,1.607717
39,魔導士を狩る 武具を育てる,1,1.607717
40,武具を育てる スキルを覚えて進める場所が増える,1,1.607717
41,スキルを覚えて進める場所が増える という流れにはなると思いますが,1,1.607717
42,という流れにはなると思いますが まず魔導士が逃げる,1,1.607717
43,まず魔導士が逃げる それを追いかける上で道中ソウルライクならではのギミックや雑魚的との戦闘が多々ある,1,1.607717
44,それを追いかける上で道中ソウルライクならではのギミックや雑魚的との戦闘が多々ある 魔導士も何度も逃げるので追いかける手間もさることながら,1,1.607717
45,魔導士も何度も逃げるので追いかける手間もさることながら 雑魚的のガードの強さ,1,1.607717
46,雑魚的のガードの強さ ひるみにくさ,1,1.607717
47,ひるみにくさ ガード不可攻撃の多さにやきもきさせられます,1,1.607717
48,ガード不可攻撃の多さにやきもきさせられます しかも,1,1.607717
49,しかも 魔導士を何度も倒し,1,1.607717
50,魔導士を何度も倒し 素材を集め,1,1.607717
51,素材を集め 武具を作るので,1,1.607717
52,武具を作るので ひたすら同じボスを追いかけまわし,1,1.607717
53,ひたすら同じボスを追いかけまわし 倒して,1,1.607717
54,倒して というソウルライクの良さを消す仕様となっています,1,1.607717
55,というソウルライクの良さを消す仕様となっています 新しいジャンルのゲームとして認識しつつ,1,1.607717
56,新しいジャンルのゲームとして認識しつつ 理不尽さをかみしめながらクリアを目指せる人にはもってこい,1,1.607717
57,理不尽さをかみしめながらクリアを目指せる人にはもってこい かもしれませんが,1,1.607717
58,かもしれませんが ソウルライクというジャンルではないと自分は思います,1,1.607717
59,ボスが逃げるとか ストーリーが微妙とか,1,1.607717
60,ストーリーが微妙とか マップの方式がダメだとか,1,1.607717
61,マップの方式がダメだとか そういうことは置いといて最悪な点が1つある,1,1.607717
62,そういうことは置いといて最悪な点が1つある ビルドの構築面白く無さすぎだろ,1,1.607717
63,ビルドの構築面白く無さすぎだろ 好きな武器みたいな装備はできません,1,1.607717
64,好きな武器みたいな装備はできません ヴァンファードという盾,1,1.607717
