rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,找法师 找法师,6,0.992556
2,system windows,4,0.661704
3,windows forms,4,0.661704
4,forms form,3,0.496278
5,开新图 找法师,3,0.496278
6,tr th,3,0.496278
7,th tr,3,0.496278
8,tr tr,3,0.496278
9,去其精华 取其糟粕,2,0.330852
10,eventargs system,2,0.330852
11,好玩 爱玩,2,0.330852
12,不要买 不要买,2,0.330852
13,找法师 追法师,2,0.330852
14,追法师 追法师,2,0.330852
15,追法师 杀法师,2,0.330852
16,杀法师 开新图,2,0.330852
17,进新地图 找法师,2,0.330852
18,找法师 开门,2,0.330852
19,table tr,2,0.330852
20,tr td,2,0.330852
21,url https,2,0.330852
22,td tr,2,0.330852
23,tr table,2,0.330852
24,h1 盐与献祭,2,0.330852
25,盐与献祭 是横板魂类游戏,2,0.330852
26,是横板魂类游戏 盐和避难所,2,0.330852
27,因为引入怪猎的 换区,2,0.330852
28,换区 机制,2,0.330852
29,机制 为了给boss换区服务而严重影响类恶魔城地图设计的水准,2,0.330852
30,为了给boss换区服务而严重影响类恶魔城地图设计的水准 感受不到精妙的连接和机关,2,0.330852
31,感受不到精妙的连接和机关 就是,2,0.330852
32,就是 小巷子通向各个大区域,2,0.330852
33,小巷子通向各个大区域 探图无聊,2,0.330852
34,怪物设计偷懒 改为地图守关boss,2,0.330852
35,改为地图守关boss 无限刷新的同质化boss,2,0.330852
36,无限刷新的同质化boss 有些不伦不类,2,0.330852
37,有些不伦不类 并且boss几乎都是,2,0.330852
38,并且boss几乎都是 召唤小怪,2,0.330852
39,召唤小怪 发射物,2,0.330852
40,发射物 近战武器拍一下,2,0.330852
41,近战武器拍一下 战斗无聊,2,0.330852
42,角色韧性设置很奇怪 被怪打飞,2,0.330852
43,被怪打飞 被机关创飞,2,0.330852
44,创建角色界面只显示职业名字 武器,2,0.330852
45,武器 但是却不显示各职业的属性,2,0.330852
46,缆车 毫无新意,2,0.330852
47,毫无新意 并且只能在,2,0.330852
48,并且只能在 双脚站立与地面,2,0.330852
49,双脚站立与地面 时才能交互,2,0.330852
50,时才能交互 改成,2,0.330852
51,改成 在起点范围内即可交互,2,0.330852
52,在起点范围内即可交互 玩家的体验会更舒畅,2,0.330852
53,玩家的体验会更舒畅 平台召唤,2,0.330852
54,平台召唤 类似一代的火把平台,2,0.330852
55,类似一代的火把平台 毫无新意,2,0.330852
56,h1 总结,2,0.330852
57,总结 h1,2,0.330852
58,作为一代的老粉丝不得不说续作完全偏离的我的期待 有很多改变但是感觉都没有做好,2,0.330852
59,有很多改变但是感觉都没有做好 然而游戏本身的,2,0.330852
60,然而游戏本身的 探索,2,0.330852
61,探索 又有一定的吸引力,2,0.330852
62,如果不是一代的粉丝 被画面吸引,2,0.330852
63,被画面吸引 那么请去玩一代,2,0.330852
64,那么请去玩一代 如果是一代粉丝,2,0.330852
65,如果是一代粉丝 那么本作是无法满足你对延续前作体验的期待的,2,0.330852
66,那么本作是无法满足你对延续前作体验的期待的 可以半价再入,2,0.330852
67,陷阱是看不见的 boss是需要你追的,1,0.165426
68,boss是需要你追的 小怪投技是必吃的,1,0.165426
69,小怪投技是必吃的 血条是2刀流的,1,0.165426
70,血条是2刀流的 不用远程是会受苦的,1,0.165426
71,不用远程是会受苦的 棺材板是易碎的,1,0.165426
72,棺材板是易碎的 门永远是从另一侧打开的,1,0.165426
73,门永远是从另一侧打开的 收集是每个图都给一个能力才能回去探索拿完的,1,0.165426
74,收集是每个图都给一个能力才能回去探索拿完的 零帧龙车是防不胜防的,1,0.165426
75,零帧龙车是防不胜防的 如果这些都能接受的话,1,0.165426
76,如果这些都能接受的话 欢迎品鉴,1,0.165426
77,欢迎品鉴 盐与献祭,1,0.165426
78,盐与献祭 一款黑魂和怪猎玩家看了都会憋不住的横板跳跃休闲打boss游戏了,1,0.165426
79,5分满分给3分吧 本身刷法师这种高同质化的敌人就很无聊,1,0.165426
80,本身刷法师这种高同质化的敌人就很无聊 然后二周目敌人数值膨胀跟盐一一样离谱,1,0.165426
81,然后二周目敌人数值膨胀跟盐一一样离谱 一周目随便削boss的满级大刀拿到二周目打第一张图的普通小怪居然要砍两刀,1,0.165426
82,一周目随便削boss的满级大刀拿到二周目打第一张图的普通小怪居然要砍两刀 导致玩家无法快速清理杂兵,1,0.165426
83,导致玩家无法快速清理杂兵 堆怪问题凸显,1,0.165426
84,堆怪问题凸显 逼着玩家打法师攒经验点数值,1,0.165426
85,逼着玩家打法师攒经验点数值 强化道具也极度依靠刷法师,1,0.165426
86,强化道具也极度依靠刷法师 很多门还规定玩家要打xx个法师才能给你打开,1,0.165426
