rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,보스들의 패턴이,3,4.026846
2,아닌 똥겜이,3,4.026846
3,똥겜이 되는,3,4.026846
4,제작진들은 몰랐던,3,4.026846
5,몰랐던 것일까요,3,4.026846
6,도배되어 있습니다,2,2.684564
7,거리 벌리고,2,2.684564
8,것이 아닌,2,2.684564
9,되는 것이란걸,2,2.684564
10,것이란걸 제작진들은,2,2.684564
11,한줄평 h2,1,1.342282
12,h2 진짜,1,1.342282
13,진짜 역겹고,1,1.342282
14,역겹고 구리고,1,1.342282
15,구리고 짜증,1,1.342282
16,짜증 겁나,1,1.342282
17,겁나 나지만,1,1.342282
18,나지만 쓴맛이,1,1.342282
19,쓴맛이 왠지,1,1.342282
20,왠지 끌린다,1,1.342282
21,끌린다 h2,1,1.342282
22,h2 달빛아래에,1,1.342282
23,달빛아래에 사슴인지,1,1.342282
24,사슴인지 산양인지,1,1.342282
25,산양인지 엘크인지,1,1.342282
26,엘크인지 무스인지,1,1.342282
27,무스인지 노루인지,1,1.342282
28,노루인지 고라니인지,1,1.342282
29,고라니인지 모를,1,1.342282
30,모를 뭔가를,1,1.342282
31,뭔가를 친구랑,1,1.342282
32,친구랑 사이좋게,1,1.342282
33,사이좋게 타고,1,1.342282
34,타고 다니다가,1,1.342282
35,다니다가 무슨,1,1.342282
36,무슨 불닭소스,1,1.342282
37,불닭소스 색깔,1,1.342282
38,색깔 레이저를,1,1.342282
39,레이저를 쳐맞고,1,1.342282
40,쳐맞고 거리를,1,1.342282
41,거리를 방황하는데,1,1.342282
42,방황하는데 갑자기,1,1.342282
43,갑자기 개성,1,1.342282
44,개성 겁나없게,1,1.342282
45,겁나없게 생긴,1,1.342282
46,생긴 예티같은,1,1.342282
47,예티같은 놈이,1,1.342282
48,놈이 빈대떡을,1,1.342282
49,빈대떡을 쿵하고,1,1.342282
50,쿵하고 시전해서,1,1.342282
51,시전해서 짜부가,1,1.342282
52,짜부가 되더니,1,1.342282
53,되더니 b형,1,1.342282
54,b형 텐트처럼,1,1.342282
55,텐트처럼 생긴,1,1.342282
56,생긴 짬내,1,1.342282
57,짬내 오지게,1,1.342282
58,오지게 나는,1,1.342282
59,나는 곳에서,1,1.342282
60,곳에서 눈을,1,1.342282
61,눈을 뜨니까,1,1.342282
62,뜨니까 하얀옷입은,1,1.342282
63,하얀옷입은 장의사같은,1,1.342282
64,장의사같은 놈이,1,1.342282
65,놈이 이러쿵저러쿵,1,1.342282
66,이러쿵저러쿵 쏼라쏼라,1,1.342282
67,쏼라쏼라 저주받음,1,1.342282
68,저주받음 어디가야함,1,1.342282
69,어디가야함 무슨일해야함,1,1.342282
70,무슨일해야함 암튼,1,1.342282
71,암튼 게임,1,1.342282
72,게임 시작됨,1,1.342282
73,시작됨 이게,1,1.342282
74,이게 진짜,1,1.342282
75,진짜 게임,1,1.342282
76,게임 시작부분임,1,1.342282
77,시작부분임 1편에서,1,1.342282
78,1편에서 조까타떤점만,1,1.342282
79,조까타떤점만 집어넣고,1,1.342282
80,집어넣고 좋았던점은,1,1.342282
81,좋았던점은 빼버렸음,1,1.342282
82,빼버렸음 1편이,1,1.342282
83,1편이 미지의,1,1.342282
84,미지의 섬에서,1,1.342282
85,섬에서 표류되어,1,1.342282
86,표류되어 그곳의,1,1.342282
87,그곳의 기현상과,1,1.342282
88,기현상과 괴물들로부터,1,1.342282
89,괴물들로부터 적응하면서,1,1.342282
90,적응하면서 섬의,1,1.342282
91,섬의 비밀을,1,1.342282
92,비밀을 파헤치고,1,1.342282
93,파헤치고 극복해,1,1.342282
94,극복해 나가는,1,1.342282
95,나가는 이야기임,1,1.342282
96,이야기임 spoiler,1,1.342282
97,spoiler 아마,1,1.342282
98,아마 대부분,1,1.342282
99,대부분 1편했다가,1,1.342282
100,1편했다가 2편,1,1.342282
