token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
垃圾遊戲,2,0,6.309148,0.0,6.309148,32.554798
法師,2,1,6.309148,1.992032,4.317116,1.663205
1對1還好,1,0,3.154574,0.0,3.154574,31.554798
2分是裝備畫風都合味,1,0,3.154574,0.0,3.154574,31.554798
35小時,1,0,3.154574,0.0,3.154574,31.554798
3分是可以聯機,1,0,3.154574,0.0,3.154574,31.554798
3血了,1,0,3.154574,0.0,3.154574,31.554798
4擊就返回重生點,1,0,3.154574,0.0,3.154574,31.554798
again,1,0,3.154574,0.0,3.154574,31.554798
boss到底跑夠了沒,1,0,3.154574,0.0,3.154574,31.554798
boss戰就能感受到製作組不夠用心在打磨遊戲,1,0,3.154574,0.0,3.154574,31.554798
do,1,0,3.154574,0.0,3.154574,31.554798
don't,1,0,3.154574,0.0,3.154574,31.554798
hate,1,0,3.154574,0.0,3.154574,31.554798
hunters,1,0,3.154574,0.0,3.154574,31.554798
monster,1,0,3.154574,0.0,3.154574,31.554798
scare,1,0,3.154574,0.0,3.154574,31.554798
soul-like,1,0,3.154574,0.0,3.154574,31.554798
this,1,0,3.154574,0.0,3.154574,31.554798
一堆傻逼設計,1,0,3.154574,0.0,3.154574,31.554798
一堆數值跟上集一樣完全不清晰,1,0,3.154574,0.0,3.154574,31.554798
一次就給一坨,1,0,3.154574,0.0,3.154574,31.554798
一次被打到就直接送回家,1,0,3.154574,0.0,3.154574,31.554798
一無可取,1,0,3.154574,0.0,3.154574,31.554798
下雨一樣的泡泡攻擊跟持續噴射的間歇噴泉,1,0,3.154574,0.0,3.154574,31.554798
不只地圖怪物全部復活,1,0,3.154574,0.0,3.154574,31.554798
不同類型敵人的頻率區分不夠明確,1,0,3.154574,0.0,3.154574,31.554798
不多的,1,0,3.154574,0.0,3.154574,31.554798
不對等的速度,1,0,3.154574,0.0,3.154574,31.554798
不想追加評論了,1,0,3.154574,0.0,3.154574,31.554798
不推,1,0,3.154574,0.0,3.154574,31.554798
不會吸邊,1,0,3.154574,0.0,3.154574,31.554798
不知到底在升什麼,1,0,3.154574,0.0,3.154574,31.554798
不管騎士硬是將毒法師幹掉後接入過場動畫,1,0,3.154574,0.0,3.154574,31.554798
並且儘管聲光效果不同,1,0,3.154574,0.0,3.154574,31.554798
並且就連拿重型武器也需要好幾次才可將敵方耐力消耗完破防,1,0,3.154574,0.0,3.154574,31.554798
乏味的跑圖打怪,1,0,3.154574,0.0,3.154574,31.554798
也就常常會產生被黑畫面中敵人攻擊的破事,1,0,3.154574,0.0,3.154574,31.554798
也沒有期待,1,0,3.154574,0.0,3.154574,31.554798
二代不推,1,0,3.154574,0.0,3.154574,31.554798
人物操作手感這麼笨重,1,0,3.154574,0.0,3.154574,31.554798
人物有攀牆跳牆的能力,1,0,3.154574,0.0,3.154574,31.554798
以上都還可以解決,1,0,3.154574,0.0,3.154574,31.554798
以及重複跑圖延長遊戲壽命的做法,1,0,3.154574,0.0,3.154574,31.554798
但boss大體型反而幫眼球擋掉所有箭矢,1,0,3.154574,0.0,3.154574,31.554798
但卻欠缺那種精妙安排值得研究走向的設計,1,0,3.154574,0.0,3.154574,31.554798
但大破大立之下卻沒設計出合理的遊戲機制,1,0,3.154574,0.0,3.154574,31.554798
但大致每隻法師都差不多打法,1,0,3.154574,0.0,3.154574,31.554798
但我在遊玩過程還是獲得不少樂趣,1,0,3.154574,0.0,3.154574,31.554798
但攀牆無法攀著緩慢下降就算了,1,0,3.154574,0.0,3.154574,31.554798
但早期都放一堆過度活躍,1,0,3.154574,0.0,3.154574,31.554798
但是目前看到的中大型敵人的攻擊頻率都太高了,1,0,3.154574,0.0,3.154574,31.554798
但本作卻只能說是背棄了上一代玩家的感動,1,0,3.154574,0.0,3.154574,31.554798
但王跑得比你還快,1,0,3.154574,0.0,3.154574,31.554798
但玩了24小時破關真的不推,1,0,3.154574,0.0,3.154574,31.554798
但當時體驗的是對遊戲熱情投入,1,0,3.154574,0.0,3.154574,31.554798
但目前看到一些問題,1,0,3.154574,0.0,3.154574,31.554798
但站位常常會在樓梯上,1,0,3.154574,0.0,3.154574,31.554798
但翻滾完還要走兩步手短武才能打到對方,1,0,3.154574,0.0,3.154574,31.554798
但這個設定很讓人討厭,1,0,3.154574,0.0,3.154574,31.554798
但這很容易給玩家煩躁感,1,0,3.154574,0.0,3.154574,31.554798
但這款卻偷工減料又粗劣的用個鏡門直接把各區割裂開來,1,0,3.154574,0.0,3.154574,31.554798
但體驗真的跟鹽與聖所差很多,1,0,3.154574,0.0,3.154574,31.554798
低血壓治療器,1,0,3.154574,0.0,3.154574,31.554798
你以為是因為這遊戲好玩嗎,1,0,3.154574,0.0,3.154574,31.554798
你說可以翻滾,1,0,3.154574,0.0,3.154574,31.554798
你走魔法線就沒幾多負重,1,0,3.154574,0.0,3.154574,31.554798
例如必須向前跳躍攀爬一個平台,1,0,3.154574,0.0,3.154574,31.554798
偏偏boss攻擊頻率又很高,1,0,3.154574,0.0,3.154574,31.554798
做出來的裝備也僅僅只是數值不同,1,0,3.154574,0.0,3.154574,31.554798
偶而安排的秘密或寶藏或多或少的讓這段探險值得期待,1,0,3.154574,0.0,3.154574,31.554798
儘管已經看到許多負評,1,0,3.154574,0.0,3.154574,31.554798
先來個短評,1,0,3.154574,0.0,3.154574,31.554798
先從地圖設計說起,1,0,3.154574,0.0,3.154574,31.554798
全成就了,1,0,3.154574,0.0,3.154574,31.554798
其如沒給的5分是遊戲性太差,1,0,3.154574,0.0,3.154574,31.554798
再不然起碼把眼球的血量調低到1-3次攻擊就可以解決吧,1,0,3.154574,0.0,3.154574,31.554798
再加上追擊時會同步攻擊,1,0,3.154574,0.0,3.154574,31.554798
初始耐力雖然足夠,1,0,3.154574,0.0,3.154574,31.554798
到後期關卡基本上都是高位,1,0,3.154574,0.0,3.154574,31.554798
加上boss過快的攻擊頻率,1,0,3.154574,0.0,3.154574,31.554798
動畫時間又長,1,0,3.154574,0.0,3.154574,31.554798
卻只能看到自己這邊的畫面,1,0,3.154574,0.0,3.154574,31.554798
原來通到這,1,0,3.154574,0.0,3.154574,31.554798
原本想給好評的,1,0,3.154574,0.0,3.154574,31.554798
原本打前兩個法師時都還覺得可以接受,1,0,3.154574,0.0,3.154574,31.554798
又常常飄在無法近戰的高度,1,0,3.154574,0.0,3.154574,31.554798
反觀敵方防禦卻都是全防無傷還無視方向全方位防禦,1,0,3.154574,0.0,3.154574,31.554798
只是在惡整玩家,1,0,3.154574,0.0,3.154574,31.554798
只是擺明阻礙,1,0,3.154574,0.0,3.154574,31.554798
只為增加遊戲時長,1,0,3.154574,0.0,3.154574,31.554798
