token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
나는,5,0,6.55308,0.0,6.55308,32.609526
게임을,4,0,5.242464,0.0,5.242464,32.287598
이러한,4,0,5.242464,0.0,5.242464,32.287598
정말,4,0,5.242464,0.0,5.242464,32.287598
제작진들은,4,0,5.242464,0.0,5.242464,32.287598
게임이,5,1,6.55308,2.444988,4.108092,1.422346
것일까요,3,0,3.931848,0.0,3.931848,31.87256
기대하고,3,0,3.931848,0.0,3.931848,31.87256
되는,3,0,3.931848,0.0,3.931848,31.87256
똥겜이,3,0,3.931848,0.0,3.931848,31.87256
만들어진,3,0,3.931848,0.0,3.931848,31.87256
몰랐던,3,0,3.931848,0.0,3.931848,31.87256
보스들의,3,0,3.931848,0.0,3.931848,31.87256
보스를,3,0,3.931848,0.0,3.931848,31.87256
않음,3,0,3.931848,0.0,3.931848,31.87256
패턴이,3,0,3.931848,0.0,3.931848,31.87256
1편에서,2,0,2.621232,0.0,2.621232,31.287598
h2,2,0,2.621232,0.0,2.621232,31.287598
spoiler,2,0,2.621232,0.0,2.621232,31.287598
가드를,2,0,2.621232,0.0,2.621232,31.287598
거리,2,0,2.621232,0.0,2.621232,31.287598
것이,2,0,2.621232,0.0,2.621232,31.287598
것이란걸,2,0,2.621232,0.0,2.621232,31.287598
게임은,2,0,2.621232,0.0,2.621232,31.287598
게임임,2,0,2.621232,0.0,2.621232,31.287598
결국,2,0,2.621232,0.0,2.621232,31.287598
남게,2,0,2.621232,0.0,2.621232,31.287598
놈이,2,0,2.621232,0.0,2.621232,31.287598
다른,2,0,2.621232,0.0,2.621232,31.287598
대부분의,2,0,2.621232,0.0,2.621232,31.287598
대한,2,0,2.621232,0.0,2.621232,31.287598
대해,2,0,2.621232,0.0,2.621232,31.287598
도배되어,2,0,2.621232,0.0,2.621232,31.287598
뒤를,2,0,2.621232,0.0,2.621232,31.287598
때문에,2,0,2.621232,0.0,2.621232,31.287598
또한,2,0,2.621232,0.0,2.621232,31.287598
많이,2,0,2.621232,0.0,2.621232,31.287598
맵을,2,0,2.621232,0.0,2.621232,31.287598
벌리고,2,0,2.621232,0.0,2.621232,31.287598
부디,2,0,2.621232,0.0,2.621232,31.287598
비해,2,0,2.621232,0.0,2.621232,31.287598
사람들이,2,0,2.621232,0.0,2.621232,31.287598
생긴,2,0,2.621232,0.0,2.621232,31.287598
생츄어리를,2,0,2.621232,0.0,2.621232,31.287598
심함,2,0,2.621232,0.0,2.621232,31.287598
아니,2,0,2.621232,0.0,2.621232,31.287598
암튼,2,0,2.621232,0.0,2.621232,31.287598
오지게,2,0,2.621232,0.0,2.621232,31.287598
있습니다,2,0,2.621232,0.0,2.621232,31.287598
적의,2,0,2.621232,0.0,2.621232,31.287598
적이,2,0,2.621232,0.0,2.621232,31.287598
전투가,2,0,2.621232,0.0,2.621232,31.287598
