rank,token,frequency,relative_frequency_per_1000_tokens
1,h3,8,15.779093
2,ただ,2,3.944773
3,そのため,2,3.944773
4,持久力,2,3.944773
5,h1,2,3.944773
6,前作と比べて評価が低いが自分は前作も今作もなかなか面白いと思うダクソ系２dアクションrpg,1,1.972387
7,ダークソウル系の死にげーが２dアクションrpgになったみたいなの聞いて面白そうと思ったなら前作も今作も含めて楽しめると思う,1,1.972387
8,ただ前作,1,1.972387
9,今作もスキルツリーでの初期化が一つずつしかできないうえに数が限られているので一旦全部初期化などはできません,1,1.972387
10,注意しましょう,1,1.972387
11,前作と比べて今作の評価が低い理由の一つ,1,1.972387
12,大体これのせい,1,1.972387
13,に一度クエストを受けてボス,1,1.972387
14,魔導士,1,1.972387
15,を出現させると倒しても倒しても勝手にフィールドに出現するようになります,1,1.972387
16,探索すればするほどマップに魔導士が３,1,1.972387
17,５体とか出てきて鬱陶しい,1,1.972387
18,しかもダメージを与えると逃げて別のマップに移動しますそれを繰り返し追い詰めて倒さないといけないので面倒などが主な理由です,1,1.972387
19,ボスと取り巻きはそのボスの装備素材を落とすのでそれを作るのに倒す価値はあるのですが,1,1.972387
20,３回倒すと大体一式作れるくらい素材落としてくれるのでその辺のバランスも含めてやっぱり探索の邪魔なだとなってしまうようです,1,1.972387
21,自分はその辺はあんまり苦でもなかったので前作同様今作も普通に楽しめました,1,1.972387
22,ソロで３週くらいクリアしたくらい好きです,1,1.972387
23,今は最近フレンドが買ったので二人で最初からやっていますが,1,1.972387
24,マルチだと相方がタゲ取ってくれてる間に後ろから魔法とか飛び道具連発すればすぐ倒せるのでマルチでの難易度はめちゃくちゃ低いです,1,1.972387
25,とりあえず前作も今作もセールだとかなり安くなるのでバンドルで前作と今作一緒に興味あれば買ってもいいと思います,1,1.972387
26,序盤で前作との考えの違いに気付いて割り切ればシステム面はそこそこ楽しめます,1,1.972387
27,とはいえ終盤マップは擁護のしようもないような敵配置や超火力の罠があって,1,1.972387
28,って感じです,1,1.972387
29,全体的に見たら楽しめたしおすすめにはしてますが,1,1.972387
30,割と,1,1.972387
31,おすすめしない,1,1.972387
32,寄りの,1,1.972387
33,おすすめ,1,1.972387
34,と言った所です,1,1.972387
35,人によっては結構ハマりそうな印象は受けましたので挑戦の価値はあると思います,1,1.972387
36,不死の審問官として各地に蔓延る魔導司を討伐するアクションrpg,1,1.972387
37,酷評されるほどひどくはないが,1,1.972387
38,酷評されてもしかたない部分は実際ある,1,1.972387
39,装備が豊富で,1,1.972387
40,各エリアごとに特徴的な敵が出てくるところは好印象,1,1.972387
41,オンラインプレイの報酬はデイリー討伐みたいなミッションから多少得られるのでオフライン専門でも一応安心,1,1.972387
42,ゲーム内で説明があったか定かではないが,1,1.972387
43,体勢を崩した魔導司に鉤縄で追撃が入ることに気付くとたまに役立つ,1,1.972387
44,追撃だけどカウンター攻撃とみなされるので一部装備が役に立つ,1,1.972387
45,めちゃくちゃ面白い,1,1.972387
46,前作と比べてやりこみ要素はあるけど逆にそれを強制されている感じがある,1,1.972387
47,苦痛に感じる人は苦痛かもしれない,1,1.972387
48,正直なんども周回したいとは思わない,1,1.972387
49,マップもより広くなってるけどマップもピンないからストーリー進めて後でいく場所みたいなところがどこかわからない,1,1.972387
50,しかも今作の場合そういった寄り道はアイテムが拾えるよ,1,1.972387
51,じゃなくてストーリー上絶対にしなきゃいけなかったりするから迷う,1,1.972387
52,つまり,1,1.972387
53,一方通行じゃなくて一回戻って別の分岐にいかなきゃいけないけど分岐の場所がわからない,1,1.972387
54,あと対人意識してるからかすごいモーションがもっさりしてて爽快なアクション感は落ちてる,1,1.972387
55,これは自分の話だけかもしれないけどどちらかというと攻撃をローリングで回避して殴るというより,1,1.972387
56,ローリングせずに移動で回避して殴るようにしている,1,1.972387
57,ダッシュが追加されたので余計に,1,1.972387
58,前作はローリングゲー,1,1.972387
59,相手の背後取るゲームだったけど今作はそうではなくなった印象,1,1.972387
60,武器種によっても変わるかもしれない,1,1.972387
61,参考までに前作はダガー,1,1.972387
62,強コンボスパム,1,1.972387
63,今作は両手武器でプレイしている,1,1.972387
64,総合的には,1,1.972387
65,賛否両論は過小評価されているようには感じる,1,1.972387
66,やや粗削りな部分はありますが,1,1.972387
67,マルチ向きの良ゲーです,1,1.972387
68,前作未プレイで始めてほぼ全編マルチでやり,1,1.972387
69,収集要素をやりつつ25時間程度でクリアできそうです,1,1.972387
70,他の評価に書かれてるほどひどいゲームではなかったですが,1,1.972387
71,ソロでやってると評価が変わるのかな,1,1.972387
72,前作がもっとソウルライクな雰囲気だと聞きましたが,1,1.972387
73,本作はdragon,1,1.972387
74,marked,1,1.972387
75,for,1,1.972387
76,deathやモンハンシリーズと近いプレイ感です,1,1.972387
77,ソウルライク風モンハン,1,1.972387
