rank,bigram,frequency
1,salt sanctuary,332
2,monster hunter,199
3,salt sacrifice,122
4,dark souls,97
5,first one,59
6,feels like,54
7,mage hunts,46
8,feel like,34
9,gameplay loop,33
10,heavy armor,32
11,level design,32
12,skill tree,32
13,each other,30
14,souls like,29
15,like monster,27
16,ska studios,27
17,it's good,26
18,level up,26
19,more like,26
20,boss fights,25
21,like salt,25
22,final boss,24
23,like first,24
24,don't know,23
25,around map,22
26,mage hunt,22
27,art style,21
28,don't think,21
29,boss fight,20
30,don't have,20
31,hunting mages,20
32,way too,20
33,much more,19
34,too much,19
35,negative reviews,18
36,felt like,17
37,like sanctuary,17
38,sanctuary still,17
39,all time,16
40,different first,16
41,go back,16
42,know what,16
43,light armor,16
44,lot fun,16
45,there some,16
46,2d monster,15
47,all over,15
48,end up,15
49,even more,15
50,even though,15
51,grappling hook,15
52,over over,15
53,don't feel,14
54,how much,14
55,like it's,14
56,lot more,14
57,pretty much,14
58,sanctuary it's,14
59,all all,13
60,interconnected world,13
61,it's own,13
62,only one,13
63,weapons armor,13
64,2d dark,12
65,don't even,12
66,elden ring,12
67,especially when,12
68,every single,12
69,have fun,12
70,have played,12
71,it's still,12
72,like one,12
73,mage hunting,12
74,most time,12
75,one two,12
76,other reviews,12
77,people who,12
78,played salt,12
79,ranged weapons,12
80,sequel salt,12
81,still good,12
82,things like,12
83,too many,12
84,weapon types,12
85,weapons have,12
86,compared sanctuary,11
87,don't like,11
88,fun play,11
89,has some,11
90,have any,11
91,have lot,11
92,hunter style,11
93,it's fun,11
94,loved first,11
95,mixed reviews,11
96,more time,11
97,much better,11
98,one has,11
99,only thing,11
100,play salt,11
101,sanctuary like,11
102,send flying,11
103,straight up,11
104,2d souls,10
105,2d soulslike,10
106,bosses have,10
107,chasing mages,10
108,doesn't have,10
109,don't get,10
110,fall damage,10
111,fast travel,10
112,first time,10
113,get into,10
114,good salt,10
115,good time,10
116,haven't played,10
117,highly recommend,10
118,i'm sure,10
119,i've played,10
120,it's more,10
121,loved salt,10
122,mage bosses,10
123,mage fights,10
124,never played,10
125,now have,10
126,perfect block,10
127,pretty good,10
128,some enemies,10
129,souls monster,10
130,there lot,10
131,there still,10
132,tl dr,10
133,want play,10
134,way better,10
135,weapon type,10
136,why people,10
137,also have,9
138,back hub,9
139,because it's,9
140,bosses mages,9
141,co op,9
142,core gameplay,9
143,dark soul,9
144,didn't like,9
145,each mage,9
146,even after,9
147,every time,9
148,feel more,9
149,feels good,9
150,good idea,9
